pregunta,modo,filtro,variante,posicion,acierto
gX-007,original,filtro,Entregado,16,0
gX-008,original,filtro,Entregado,2,1
gX-009,original,filtro,Entregado,1,1
gX-010,original,filtro,Entregado,21,0
gX-011,original,filtro,Entregado,5,1
gX-012,original,filtro,Entregado,1,1
gX-013,original,filtro,Entregado,1,1
gX-014,original,filtro,Entregado,6,0
gX-015,original,filtro,Entregado,9,0
gX-016,original,filtro,Entregado,14,0
gX-017,original,filtro,Entregado,3,1
gX-018,original,filtro,Entregado,6,0
gX-019,original,filtro,Entregado,2,1
gX-020,original,filtro,Entregado,14,0
gX-007,original,sin_filtro,Entregado,259,0
gX-008,original,sin_filtro,Entregado,49,0
gX-009,original,sin_filtro,Entregado,1,1
gX-010,original,sin_filtro,Entregado,1020,0
gX-011,original,sin_filtro,Entregado,220,0
gX-012,original,sin_filtro,Entregado,136,0
gX-013,original,sin_filtro,Entregado,1,1
gX-014,original,sin_filtro,Entregado,90,0
gX-015,original,sin_filtro,Entregado,576,0
gX-016,original,sin_filtro,Entregado,504,0
gX-017,original,sin_filtro,Entregado,10,0
gX-018,original,sin_filtro,Entregado,57,0
gX-019,original,sin_filtro,Entregado,6,0
gX-020,original,sin_filtro,Entregado,794,0
gX-007,original,filtro,A,16,0
gX-008,original,filtro,A,2,1
gX-009,original,filtro,A,1,1
gX-010,original,filtro,A,22,0
gX-011,original,filtro,A,5,1
gX-012,original,filtro,A,1,1
gX-013,original,filtro,A,1,1
gX-014,original,filtro,A,6,0
gX-015,original,filtro,A,9,0
gX-016,original,filtro,A,10,0
gX-017,original,filtro,A,3,1
gX-018,original,filtro,A,7,0
gX-019,original,filtro,A,4,1
gX-020,original,filtro,A,2,1
gX-007,original,sin_filtro,A,263,0
gX-008,original,sin_filtro,A,48,0
gX-009,original,sin_filtro,A,1,1
gX-010,original,sin_filtro,A,1060,0
gX-011,original,sin_filtro,A,232,0
gX-012,original,sin_filtro,A,145,0
gX-013,original,sin_filtro,A,1,1
gX-014,original,sin_filtro,A,95,0
gX-015,original,sin_filtro,A,589,0
gX-016,original,sin_filtro,A,344,0
gX-017,original,sin_filtro,A,15,0
gX-018,original,sin_filtro,A,60,0
gX-019,original,sin_filtro,A,9,0
gX-020,original,sin_filtro,A,101,0
gX-007,original,filtro,Ap,20,0
gX-008,original,filtro,Ap,1,1
gX-009,original,filtro,Ap,1,1
gX-010,original,filtro,Ap,32,0
gX-011,original,filtro,Ap,3,1
gX-012,original,filtro,Ap,1,1
gX-013,original,filtro,Ap,1,1
gX-014,original,filtro,Ap,5,1
gX-015,original,filtro,Ap,10,0
gX-016,original,filtro,Ap,13,0
gX-017,original,filtro,Ap,3,1
gX-018,original,filtro,Ap,6,0
gX-019,original,filtro,Ap,3,1
gX-020,original,filtro,Ap,15,0
gX-007,original,sin_filtro,Ap,321,0
gX-008,original,sin_filtro,Ap,2,1
gX-009,original,sin_filtro,Ap,3,1
gX-010,original,sin_filtro,Ap,1319,0
gX-011,original,sin_filtro,Ap,224,0
gX-012,original,sin_filtro,Ap,146,0
gX-013,original,sin_filtro,Ap,1,1
gX-014,original,sin_filtro,Ap,95,0
gX-015,original,sin_filtro,Ap,576,0
gX-016,original,sin_filtro,Ap,343,0
gX-017,original,sin_filtro,Ap,15,0
gX-018,original,sin_filtro,Ap,63,0
gX-019,original,sin_filtro,Ap,7,0
gX-020,original,sin_filtro,Ap,815,0
gX-007,original,filtro,B,8,0
gX-008,original,filtro,B,1,1
gX-009,original,filtro,B,1,1
gX-010,original,filtro,B,14,0
gX-011,original,filtro,B,3,1
gX-012,original,filtro,B,1,1
gX-013,original,filtro,B,1,1
gX-014,original,filtro,B,5,1
gX-015,original,filtro,B,10,0
gX-016,original,filtro,B,13,0
gX-017,original,filtro,B,3,1
gX-018,original,filtro,B,7,0
gX-019,original,filtro,B,3,1
gX-020,original,filtro,B,17,0
gX-007,original,sin_filtro,B,100,0
gX-008,original,sin_filtro,B,6,0
gX-009,original,sin_filtro,B,3,1
gX-010,original,sin_filtro,B,157,0
gX-011,original,sin_filtro,B,238,0
gX-012,original,sin_filtro,B,147,0
gX-013,original,sin_filtro,B,1,1
gX-014,original,sin_filtro,B,96,0
gX-015,original,sin_filtro,B,558,0
gX-016,original,sin_filtro,B,342,0
gX-017,original,sin_filtro,B,13,0
gX-018,original,sin_filtro,B,143,0
gX-019,original,sin_filtro,B,7,0
gX-020,original,sin_filtro,B,798,0
gX-007,original,filtro,C,20,0
gX-008,original,filtro,C,1,1
gX-009,original,filtro,C,1,1
gX-010,original,filtro,C,32,0
