id,familia,ticker,arquitectura,rep,reintentos_proveedor,respuesta,cifra_dada,cifra_esperada,ratio_cifra,unidad,ejercicio,fuente,cita_dada,chunk_id,herramientas,n_llamadas,tokens_in,tokens_out,coste_usd,latencia_s,sin_respuesta,corrigio_cifra,corrigio_cita,reintentos_esquema,limite_alcanzado,n_busquedas,busquedas_con_ticker,busquedas_con_item,uso_read_section,busquedas_reescritas,cita,cifra,trayectoria,honestidad,acierto,recall5,pos_ancla
gX-001,numerica,NVDA,a4_comparativas,1,0,Los ingresos de NVIDIA en el ejercicio fiscal 2025 fueron de 130.497.000.000 USD.,130497000000.0,130497000000.0,1.0,USD,2025.0,xbrl,,,get_xbrl_fact,1,3664,462,0.0044805,11.546974199824035,False,False,False,0,False,0,0,0,False,0,,True,True,,True,,
gX-002,numerica,AAPL,a4_comparativas,1,0,El beneficio neto de Apple Inc. en el ejercicio fiscal 2025 fue de 112.010.000.000 USD.,112010000000.0,112010000000.0,1.0,USD,2025.0,xbrl,,,list_available → get_xbrl_fact,2,5993,641,0.0068985,15.97959619993344,False,False,False,0,False,0,0,0,False,0,,True,True,,True,,
gX-003,numerica,GOOGL,a4_comparativas,1,0,Los ingresos totales de Alphabet en el ejercicio fiscal 2025 ascendieron a 402.836.000.000 USD (aproximadamente 402.836 millones de dólares).,402836000000.0,402836000000.0,1.0,USD,2025.0,xbrl,,,list_available → get_xbrl_fact,2,5994,488,0.0063255,15.498319499660283,False,False,False,0,False,0,0,0,False,0,,True,True,,True,,
gX-004,numerica,META,a4_comparativas,1,0,"En el ejercicio fiscal 2025, Meta Platforms, Inc. gastó 57.372.000.000 USD en investigación y desarrollo (Research and Development).",57372000000.0,57372000000.0,1.0,USD,2025.0,xbrl,,,list_available → get_xbrl_fact,2,5973,501,0.0063585,9.425666699651629,False,False,False,0,False,0,0,0,False,0,,True,True,,True,,
gX-005,numerica,AMZN,a4_comparativas,1,0,"En el ejercicio fiscal 2025, Amazon generó un flujo de efectivo neto procedente de actividades de explotación de 139.514.000.000 USD.",139514000000.0,139514000000.0,1.0,USD,2025.0,xbrl,,,list_available → get_xbrl_fact,2,6070,684,0.0071175,8.46573350019753,False,False,False,0,False,0,0,0,False,0,,True,True,,True,,
gX-006,numerica,MSFT,a4_comparativas,1,0,"Al cierre del ejercicio fiscal 2024 (30 de junio de 2024), el pasivo total de Microsoft ascendía a 243.686.000.000 USD.",243686000000.0,243686000000.0,1.0,USD,2024.0,xbrl,,,get_xbrl_fact,1,3644,427,0.00433425,8.14512350037694,False,False,False,0,False,0,0,0,False,0,,True,True,,True,,
gX-007,extractiva,NVDA,a4_comparativas,1,0,"En su informe 10-K para el ejercicio fiscal 2025 (FY2025), NVIDIA describe la situación competitiva en China con los siguientes puntos clave:

1. **Mercado competitivo y posición perjudicada:** Señala que el mercado chino de soluciones para centros de datos sigue siendo competitivo («The market in China for datacenter solutions remains competitive»), pero advierte que su posición competitiva se ha visto perjudicada por los controles de exportación impuestos por EE. UU. y podría dañarse aún más si hay cambios adicionales.
2. **Impulso a competidores alternativos:** Los estrictos requisitos de licencias dificultan su soporte técnico e incentivan a los clientes en China a buscar alternativas a los productos de NVIDIA, recurriendo a competidores basados en China, Europa e Israel, o a desarrollar soluciones internas.
3. **Incentivos del gobierno chino:** El gobierno de China fomenta que los clientes compren a competidores locales basados en el país y puede imponer restricciones adicionales o nuevos estándares técnicos.
4. **Impacto relativo en ingresos:** Aunque NVIDIA lanzó productos diseñados específicamente que no requieren licencia y sus ingresos de Data Center en China crecieron en FY2025, su peso relativo como porcentaje del total de ingresos del segmento Data Center se mantiene muy por debajo de los niveles previos a los controles de octubre de 2023.",,,,,2025.0,texto,The market in China for datacenter solutions remains competitive.,NVDA-2025-7-0004,list_available → search_filings → search_filings → search_filings → search_filings,5,41895,3123,0.0431325,129.05800419999287,False,False,False,1,False,4,4,4,False,4,True,,True,,True,False,15.0
gX-008,extractiva,GOOGL,a4_comparativas,1,0,"En sus factores de riesgo (Item 1A) del informe 10-K de FY2025, Alphabet menciona principalmente dos demandas antimonopolio interpuestas por el Departamento de Justicia de EE. UU. (DOJ) junto con varios fiscales generales estatales:

1. Demanda sobre Búsqueda y Publicidad en Búsqueda (Search): En el Tribunal de Distrito de EE. UU. para el Distrito de Columbia sobre sus prácticas de Search y publicidad asociada. En agosto de 2024 el tribunal falló contra Google y en diciembre de 2025 emitió una sentencia final que impone remedios (restricciones de distribución y obligación de compartir ciertos datos de búsqueda y ofrecer servicios de sindicación a competidores), la cual fue apelada por ambas partes a principios de 2026.
2. Demanda sobre Tecnología Publicitaria (Ad Tech): Presentada en enero de 2023 en el Distrito Este de Virginia respecto a presuntas infracciones antimonopolio en su tecnología de publicidad. En abril de 2025 el juez emitió un fallo mixto (descartando ilícitos en herramientas para anunciantes y en las adquisiciones de DoubleClick y AdMeld, pero determinando que sus herramientas para editores excluían indebidamente a rivales), y las partes se encuentran a la espera de la sentencia definitiva sobre remedios.",,,,,2025.0,texto,"In January 2023, the DOJ and a number of state Attorneys General sued in the Eastern District of Virginia alleging similar antitrust violations relating to our advertising technology.",GOOGL-2025-1A-0026,list_available → search_filings,2,8652,934,0.0099915,25.73575370013714,False,False,False,0,False,1,1,1,False,1,True,,True,,True,True,3.0
gX-009,extractiva,META,a4_comparativas,1,1,,,,,,,,,,list_available → search_filings → search_filings → search_filings → search_filings,5,22972,1182,0.0216615,50.13104229979217,True,False,False,0,False,4,4,4,False,4,False,,True,,False,True,1.0
gX-010,extractiva,AAPL,a4_comparativas,1,0,"En su informe 10-K para el ejercicio fiscal 2025, Apple señala que muchas de sus operaciones, tiendas minoristas e instalaciones, así como operaciones comerciales críticas de sus proveedores y fabricantes por contrato, están situadas en ubicaciones propensas a terremotos y otros desastres naturales. Asimismo, indica que el cambio climático global está provocando que ciertos tipos de desastres naturales y fenómenos meteorológicos extremos ocurran con mayor frecuencia o intensidad, lo que puede dificultar o imposibilitar la fabricación y entrega de productos, causar retrasos e ineficiencias en la cadena de suministro, interrumpir sus servicios e incrementar los costes.",,,,,2025.0,texto,"Many of the Company’s operations, retail stores and facilities, as well as critical business operations of the Company’s suppliers and contract manufacturers, are in locations that are prone to earthquakes and other natural disasters.",AAPL-2025-1A-0003,list_available → search_filings,2,8164,977,0.00978675,31.916640299838036,False,False,False,0,False,1,1,1,False,1,True,,True,,True,True,5.0
gX-011,extractiva,META,a4_comparativas,1,0,"En su MD&A del ejercicio fiscal 2025, Meta anticipa realizar inversiones en capital (capital expenditures) de aproximadamente entre 115.000 millones y 135.000 millones de dólares en 2026 para respaldar sus iniciativas de inteligencia artificial y su negocio principal.",,,,,2025.0,texto,We anticipate making capital expenditures of approximately $115 billion to $135 billion in 2026 to support our AI efforts and core business.,META-2025-7-0031,list_available → search_filings,2,8548,771,0.00930225,13.12452289974317,False,False,False,0,False,1,1,1,False,1,True,,True,,True,True,2.0
gX-012,extractiva,NVDA,a4_comparativas,1,0,"Al cierre del ejercicio fiscal 2025, NVIDIA realizó un análisis de sensibilidad sobre su cartera de inversiones que determinó que desplazamientos paralelos en la curva de rendimientos de ±0,5% (más o menos 50 puntos básicos) resultarían en una variación en el valor razonable de dichas inversiones de 238 millones de dólares.",,,,,2025.0,texto,"According to our analysis, parallel shifts in the yield curve of plus or minus 0.5% would result in a change in fair value for these investments of $238 million.",NVDA-2025-7A-0000,search_filings,1,4383,803,0.0062985,20.65340459998697,False,False,False,0,False,1,1,1,False,1,True,,True,,True,True,1.0
gX-013,comparativa,MSFT,a4_comparativas,1,0,"Los ingresos de Microsoft crecieron en 36.602.000.000 USD (+14,93% o aproximadamente un 15%), pasando de 245.122.000.000 USD en FY2024 a 281.724.000.000 USD en FY2025. El crecimiento se registró en todos los segmentos de negocio, liderado por Intelligent Cloud (impulsado por Azure), Productivity and Business Processes (impulsado por Microsoft 365 Commercial cloud) y More Personal Computing (impulsado por Gaming y Search and news advertising).",281724000000.0,281724000000.0,1.0,USD,2025.0,ambas,Revenue increased $36.6 billion or 15% with growth across each of our segments.,MSFT-2025-7-0007,list_available → get_xbrl_fact → get_xbrl_fact → get_xbrl_fact → get_xbrl_fact → search_filings → search_filings,7,16494,1876,0.0194055,68.59069100022316,False,False,False,0,False,2,2,2,False,2,True,True,True,,True,True,1.0
gX-014,comparativa,NVDA,a4_comparativas,1,0,"El beneficio neto de NVIDIA aumentó en 43.120.000.000 USD (un incremento del 144,89%), pasando de 29.760.000.000 USD en FY2024 a 72.880.000.000 USD en FY2025. Este crecimiento estuvo impulsado principalmente por la fuerte demanda de su arquitectura Hopper para centros de datos y aplicaciones de IA generativa.",72880000000.0,72880000000.0,1.0,USD,2025.0,ambas,"The strong year-on-year growth was driven by demand for our Hopper architecture accelerated computing platform used for large language models, recommendation engines, and generative AI applications.",NVDA-2025-7-0007,get_xbrl_fact → get_xbrl_fact → search_filings,3,8277,1529,0.0119415,20.428470900282264,False,False,False,0,False,1,1,1,False,1,True,True,True,,True,True,2.0
gX-015,comparativa,GOOGL,a4_comparativas,1,0,"Los ingresos de Alphabet aumentaron en 52.818.000.000 USD entre FY2024 (350.018.000.000 USD) y FY2025 (402.836.000.000 USD), lo que supone un crecimiento del 15,09%. Según la dirección, este crecimiento interanual estuvo impulsado principalmente por el aumento en los ingresos de Google Services en 37.800 millones de dólares (12%) y de Google Cloud en 15.500 millones de dólares (36%).",402836000000.0,402836000000.0,1.0,USD,2025.0,ambas,"Revenues were $402.8 billion, an increase of 15% year over year, primarily driven by an increase in Google Services revenues of $37.8 billion, or 12%, and an increase in Google Cloud revenues of $15.5 billion, or 36%.",GOOGL-2025-7-0009,list_available → get_xbrl_fact → get_xbrl_fact → search_filings,4,11501,1477,0.0141645,29.813408799935132,False,False,False,0,False,1,1,1,False,1,True,True,True,,True,True,2.0
