id,familia,ticker,arquitectura,rep,reintentos_vacios,reintentos_proveedor,respuesta,cifra_dada,cifra_esperada,ratio_cifra,unidad,ejercicio,fuente,cita_dada,chunk_id,herramientas,n_llamadas,tokens_in,tokens_out,coste_usd,latencia_s,sin_respuesta,corrigio_cifra,corrigio_cita,reintentos_esquema,limite_alcanzado,n_busquedas,busquedas_con_ticker,busquedas_con_item,uso_read_section,busquedas_reescritas,cita,cifra,trayectoria,honestidad,acierto,obsoleta,recall5,pos_ancla
gX-001,numerica,NVDA,a5_limites,1,0,0,Los ingresos de NVIDIA en el ejercicio fiscal 2025 fueron de 130.497.000.000 USD.,130497000000.0,130497000000.0,1.0,USD,2025,xbrl,,,get_xbrl_fact,1,3623,552,0.00478725,7.4328079000115395,False,False,False,0,False,0,0,0,False,0,,True,True,,True,False,,
gX-002,numerica,AAPL,a5_limites,1,0,0,El beneficio neto (NetIncomeLoss) de Apple en el ejercicio fiscal 2025 fue de 112.010.000.000 USD (cierre a 27 de septiembre de 2025).,112010000000.0,112010000000.0,1.0,USD,2025,xbrl,,,list_available → get_xbrl_fact,2,5920,538,0.0064575,9.062968299724162,False,False,False,0,False,0,0,0,False,0,,True,True,,True,False,,
gX-003,numerica,GOOGL,a5_limites,1,0,0,Los ingresos totales de Alphabet en el ejercicio fiscal 2025 fueron de 402.836.000.000 USD.,402836000000.0,402836000000.0,1.0,USD,2025,xbrl,,,list_available → get_xbrl_fact,2,6000,551,0.00656625,26.993838000111282,False,False,False,0,False,0,0,0,False,0,,True,True,,True,False,,
gX-004,numerica,META,a5_limites,1,0,0,"En el ejercicio fiscal 2025, Meta gastó exactamente 57.372.000.000 USD en investigación y desarrollo (Research and Development).",57372000000.0,57372000000.0,1.0,USD,2025,xbrl,,,list_available → get_xbrl_fact,2,5955,597,0.006705,14.840586199890822,False,False,False,0,False,0,0,0,False,0,,True,True,,True,False,,
gX-005,numerica,AMZN,a5_limites,1,0,0,"En el ejercicio fiscal 2025, Amazon generó 139.514.000.000 USD de efectivo neto procedente de sus actividades de explotación (NetCashProvidedByUsedInOperatingActivities).",139514000000.0,139514000000.0,1.0,USD,2025,xbrl,,,list_available → get_xbrl_fact,2,6075,567,0.0066825,28.14704030007124,False,False,False,0,False,0,0,0,False,0,,True,True,,True,False,,
gX-006,numerica,MSFT,a5_limites,1,0,0,"Al cierre del ejercicio fiscal 2024 (30 de junio de 2024), el pasivo total de Microsoft ascendía a 243.686.000.000 USD.",243686000000.0,243686000000.0,1.0,USD,2024,xbrl,,,get_xbrl_fact,1,3691,497,0.004632,19.44119179993868,False,False,False,0,False,0,0,0,False,0,,True,True,,True,False,,
gX-007,extractiva,NVDA,a5_limites,1,0,0,"En su informe 10-K para el ejercicio fiscal 2025, NVIDIA describe el mercado chino (particularmente de soluciones para centros de datos) como altamente competitivo y señala que su posición competitiva se ha visto perjudicada por los controles de exportación del gobierno estadounidense. 

Aunque NVIDIA introdujo productos diseñados específicamente para China que no requieren licencia de exportación y sus ingresos de Data Center en el país crecieron en el ejercicio 2025, como porcentaje de los ingresos totales de Data Center se mantienen muy por debajo de los niveles previos a las restricciones de octubre de 2023. La compañía destaca que las restricciones y la incertidumbre de las licencias colocan a NVIDIA en desventaja frente a competidores que no están sujetos a tales restricciones, e incentivan a los clientes en China a buscar alternativas (proveedores locales en China, europeos o israelíes) o a desarrollar soluciones internas propias. Asimismo, menciona riesgos regulatorios adicionales, como que el gobierno chino fomente la compra a competidores locales o investigue el cumplimiento de los controles de exportación.",,,,,2025,texto,The market in China for datacenter solutions remains competitive.,NVDA-2025-7-0004,list_available → search_filings → search_filings → search_filings → search_filings → search_filings,6,37680,2299,0.03688125,145.0893799001351,False,False,False,0,False,5,5,5,False,4,True,,True,,True,False,False,15.0
gX-008,extractiva,GOOGL,a5_limites,1,0,0,"En sus factores de riesgo de FY2025 (Item 1A), Alphabet destaca dos demandas antimonopolio principales interpuestas por el Departamento de Justicia de EE. UU. (DOJ) junto con varios fiscales generales estatales:

1. Demanda sobre Búsqueda y Publicidad en Búsquedas (Distrito de Columbia): Cuestiona las prácticas de Google Search y su publicidad asociada. En agosto de 2024, el tribunal falló contra Google y, en diciembre de 2025, dictó sentencia definitiva imponiendo remedios (restricciones de distribución y obligación de compartir ciertos datos de búsqueda y ofrecer sindicación a competidores), resolución que ambas partes apelaron entre enero y febrero de 2026.

2. Demanda sobre Tecnología Publicitaria / Ad Tech (Distrito Este de Virginia): Presentada en enero de 2023 alegando infracciones antimonopolio en herramientas de publicidad digital. En abril de 2025, el tribunal emitió un fallo mixto declarando lícitas las herramientas para anunciantes y adquisiciones previas, pero concluyendo que las herramientas para editores excluían indebidamente a competidores. En noviembre de 2025 concluyeron las vistas sobre remedios (donde el DOJ propuso medidas estructurales) y Alphabet se encuentra a la espera de la sentencia definitiva para apelar la parte desfavorable.",,,,,2025,texto,"In January 2023, the DOJ and a number of state Attorneys General sued in the Eastern District of Virginia alleging similar antitrust violations relating to our advertising technology.",GOOGL-2025-1A-0026,list_available → search_filings,2,8706,2053,0.01422825,51.523016300052404,False,False,False,0,False,1,1,1,False,1,True,,True,,True,False,True,3.0
gX-009,extractiva,META,a5_limites,1,0,0,"En su informe 10-K de FY2025, Meta señala que la Ley de Mercados Digitales (DMA) de la Unión Europea impone restricciones y requisitos específicos a empresas designadas como ""gatekeepers"" (exigibles desde marzo de 2024), concretamente en las áreas de:

1. Combinación de datos entre servicios (incluyendo los requisitos de consentimiento bajo el Artículo 5(2) de la DMA sobre el uso de datos personales para publicidad, lo que afectó a su modelo de ""suscripción sin anuncios"" y forzó la introducción y modificación de anuncios menos personalizados —LPA—).
2. Fusiones y adquisiciones.
3. Diseño de productos.

Asimismo, Meta destaca que estas obligaciones conllevan incurrir en costes significativos de cumplimiento, realizar modificaciones en sus productos y prácticas comerciales, y afrontar cuantiosas penalizaciones en caso de incumplimiento.",,,,,2025,texto,"For example, the DMA in the European Union imposes restrictions and requirements on companies like ours, including in areas such as the combination of data across services, mergers and acquisitions, and product design.",META-2025-1A-0060,list_available → search_filings → search_filings → search_filings → search_filings,5,40247,2398,0.03917775,97.74936209991574,False,False,False,0,False,4,4,3,False,4,True,,True,,True,False,True,1.0
gX-010,extractiva,AAPL,a5_limites,1,0,0,"En su informe 10-K para el ejercicio fiscal 2025, Apple declara que muchas de sus operaciones, tiendas minoristas e instalaciones, así como operaciones críticas de sus proveedores y fabricantes subcontratados, se encuentran ubicadas en lugares propensos a terremotos y otros desastres naturales. Asimismo, advierte que el cambio climático global está provocando que ciertos tipos de desastres naturales y condiciones meteorológicas extremas ocurran con mayor frecuencia o con efectos más intensos, lo cual puede dificultar o impedir la fabricación y entrega de productos, causar retrasos e ineficiencias en la cadena de suministro y aumentar los costes.",,,,,2025,texto,"Many of the Company’s operations, retail stores and facilities, as well as critical business operations of the Company’s suppliers and contract manufacturers, are in locations that are prone to earthquakes and other natural disasters.",AAPL-2025-1A-0003,list_available → search_filings,2,8385,1009,0.0100725,58.43697449984029,False,False,False,0,False,1,1,1,False,1,True,,True,,True,False,True,5.0
gX-011,extractiva,META,a5_limites,1,0,0,"Según la sección de Discusión y Análisis de la Dirección (MD&A) del informe anual de FY2025 de Meta, la compañía prevé realizar inversiones en capital (capital expenditures) de aproximadamente entre 115.000 millones y 135.000 millones de dólares en 2026 para respaldar sus iniciativas de inteligencia artificial y su negocio principal.",,,,,2025,texto,We anticipate making capital expenditures of approximately $115 billion to $135 billion in 2026 to support our AI efforts and core business.,META-2025-7-0031,list_available → search_filings,2,8504,1359,0.01147425,60.98094549961388,False,False,False,0,False,1,1,1,False,1,True,,True,,True,False,True,2.0
gX-012,extractiva,NVDA,a5_limites,1,0,0,"Al cierre del ejercicio fiscal 2025, NVIDIA realizó un análisis de sensibilidad sobre su cartera de inversión a tipo fijo frente al riesgo de tipos de interés. Según este análisis, desplazamientos paralelos en la curva de rendimiento (yield curve) de más o menos un 0,5% (±0,5%) darían lugar a una variación en el valor razonable de estas inversiones de 238 millones de dólares.",,,,,2025,texto,"According to our analysis, parallel shifts in the yield curve of plus or minus 0.5% would result in a change in fair value for these investments of $238 million.",NVDA-2025-7A-0000,search_filings → read_section → search_filings,3,10074,1102,0.011688,63.80528699979186,False,False,False,0,False,2,2,2,True,2,True,,True,,True,False,True,1.0
gX-013,comparativa,MSFT,a5_limites,1,0,0,"Los ingresos de Microsoft aumentaron en 36.602.000.000 USD (un incremento del 14,93% o aproximadamente un 15%) entre FY2024 y FY2025, pasando de 245.122.000.000 USD en el ejercicio fiscal 2024 a 281.724.000.000 USD en el ejercicio fiscal 2025. Según la dirección en el MD&A, este crecimiento se produjo en todos los segmentos del negocio: Intelligent Cloud creció impulsado por Azure, Productivity and Business Processes por Microsoft 365 Commercial cloud, y More Personal Computing por Gaming y publicidad en búsquedas y noticias.",281724000000.0,281724000000.0,1.0,USD,2025,ambas,Revenue increased $36.6 billion or 15% with growth across each of our segments.,MSFT-2025-7-0007,list_available → get_xbrl_fact → get_xbrl_fact → get_xbrl_fact → search_filings → search_filings → search_filings,7,23701,1811,0.024567,91.218027099967,False,False,False,0,False,3,3,3,False,2,True,True,True,,True,False,True,1.0
gX-014,comparativa,NVDA,a5_limites,1,0,0,"El beneficio neto de NVIDIA aumentó en 43.120.000.000 USD (+144,89%), pasando de 29.760.000.000 USD en el ejercicio fiscal 2024 a 72.880.000.000 USD en el ejercicio fiscal 2025. Este crecimiento estuvo impulsado principalmente por el aumento del 114% en los ingresos totales, encabezado por el negocio de Data Center (cuyos ingresos aumentaron un 142% por la fuerte demanda de la arquitectura Hopper para IA generativa y modelos de lenguaje) y por la expansión del margen bruto gracias a un mayor peso de Data Center en el mix de ventas.",72880000000.0,72880000000.0,1.0,USD,2025,ambas,"The strong year-on-year growth was driven by demand for our Hopper architecture accelerated computing platform used for large language models, recommendation engines, and generative AI applications.",NVDA-2025-7-0007,get_xbrl_fact → get_xbrl_fact → search_filings,3,8490,1667,0.01261875,107.43547970009968,False,False,False,0,False,1,1,1,False,1,True,True,True,,True,False,True,2.0
