id,familia,ticker,arquitectura,rep,reintentos_vacios,reintentos_proveedor,respuesta,cifra_dada,cifra_esperada,ratio_cifra,unidad,ejercicio,fuente,cita_dada,chunk_id,herramientas,n_llamadas,tokens_in,tokens_out,coste_usd,latencia_s,sin_respuesta,corrigio_cifra,corrigio_cita,reintentos_esquema,limite_alcanzado,n_busquedas,busquedas_con_ticker,busquedas_con_item,uso_read_section,busquedas_reescritas,cita,cifra,trayectoria,honestidad,acierto,obsoleta,recall5,pos_ancla
gX-001,numerica,NVDA,a2_retrieval,1,0,0,Los ingresos de NVIDIA en el ejercicio fiscal 2025 (finalizado el 26 de enero de 2025) fueron de 130.497.000.000 USD.,130497000000.0,130497000000.0,1.0,USD,2025,xbrl,,,get_xbrl_fact,1,2969,448,0.00390675,5.539845499675721,False,False,False,0,False,0,0,0,False,0,,True,True,,True,False,,
gX-002,numerica,AAPL,a2_retrieval,1,0,0,El beneficio neto (Net Income) de Apple Inc. en el ejercicio fiscal 2025 fue de 112.010.000.000 USD.,112010000000.0,112010000000.0,1.0,USD,2025,xbrl,,,list_available → get_xbrl_fact,2,5001,504,0.00564075,9.442487300373614,False,False,False,0,False,0,0,0,False,0,,True,True,,True,False,,
gX-003,numerica,GOOGL,a2_retrieval,1,0,0,Los ingresos totales de Alphabet Inc. en el ejercicio fiscal 2025 fueron de 402.836.000.000 USD.,402836000000.0,402836000000.0,1.0,USD,2025,xbrl,,,list_available → get_xbrl_fact,2,4969,473,0.0055005,9.553102700039744,False,False,False,0,False,0,0,0,False,0,,True,True,,True,False,,
gX-004,numerica,META,a2_retrieval,1,0,0,"En el ejercicio fiscal 2025, Meta gastó 57.372.000.000 USD en investigación y desarrollo (Research and Development).",57372000000.0,57372000000.0,1.0,USD,2025,xbrl,,,list_available → get_xbrl_fact,2,4946,616,0.0060195,10.041846999898553,False,False,False,0,False,0,0,0,False,0,,True,True,,True,False,,
gX-005,numerica,AMZN,a2_retrieval,1,0,0,"En el ejercicio fiscal 2025, Amazon generó 139.514.000.000 USD a través de sus actividades de explotación (Net Cash Provided by Operating Activities).",139514000000.0,139514000000.0,1.0,USD,2025,xbrl,,,list_available → get_xbrl_fact,2,5100,683,0.00638625,10.619021899998188,False,False,False,0,False,0,0,0,False,0,,True,True,,True,False,,
gX-006,numerica,MSFT,a2_retrieval,1,0,0,"Al cierre del ejercicio fiscal 2024 (30 de junio de 2024), el pasivo total (Liabilities) de Microsoft ascendía a 243.686.000.000 USD.",243686000000.0,243686000000.0,1.0,USD,2024,xbrl,,,list_available → get_xbrl_fact,2,5052,769,0.00667275,17.651656500063837,False,False,False,0,False,0,0,0,False,0,,True,True,,True,False,,
gX-007,extractiva,NVDA,a2_retrieval,1,0,0,"En su informe 10-K para el ejercicio fiscal 2025, NVIDIA describe el mercado chino (especialmente el de soluciones para centros de datos) como competitivo y profundamente condicionado por las restricciones comerciales. La compañía señala que su posición competitiva se ha visto perjudicada por los controles de exportación vigentes del gobierno estadounidense, beneficiando a competidores cuyas alternativas no están sujetas a dichas restricciones. Aunque NVIDIA lanzó productos diseñados específicamente para China que no requieren licencia y sus ingresos de Data Center en el país crecieron en FY2025, estos se mantienen muy por debajo (en porcentaje sobre los ingresos totales del segmento) de los niveles previos a los controles de octubre de 2023. Asimismo, advierte de que el gobierno chino podría incentivar a los clientes a comprar a competidores locales basados en China o imponer nuevas restricciones a los productos estadounidenses.",,,,,2025,texto,"Our competitive position has been harmed by the existing export controls, and our competitive position and future results may be further harmed, over the long term, if there are further changes in the USG’s export controls.",NVDA-2025-7-0004,list_available → search_filings → search_filings → search_filings → search_filings,5,37369,2289,0.0366105,72.86075469991192,False,False,False,0,False,4,4,4,False,4,True,,True,,True,False,False,23.0
gX-008,extractiva,GOOGL,a2_retrieval,1,0,0,"En sus factores de riesgo (Item 1A) del informe 10-K de FY2025, Alphabet detalla dos demandas antimonopolio principales interpuestas por el Departamento de Justicia de EE. UU. (DOJ) junto con fiscales generales estatales: 

1) Demanda sobre Búsqueda y Publicidad en Búsquedas (Search and Search advertising practices): presentada ante el Tribunal de Distrito para el Distrito de Columbia. En agosto de 2024 el tribunal falló contra Google y en diciembre de 2025 dictó una sentencia final imponiendo remedios (restricciones de distribución y requisitos de compartir datos de búsqueda). Ambas partes apelaron a principios de 2026.

2) Demanda sobre Tecnología Publicitaria (Advertising technology): presentada en enero de 2023 ante el Tribunal de Distrito para el Distrito Este de Virginia. En abril de 2025 el juez emitió un fallo mixto (determinando que las herramientas para editores excluían indebidamente a rivales). En septiembre y noviembre de 2025 se celebraron las audiencias de remedios, donde el DOJ propuso medidas estructurales, y la compañía se encuentra a la espera de la sentencia definitiva.",,,,,2025,texto,the DOJ and a number of state Attorneys General filed a lawsuit concerning our Search and Search advertising practices and our compliance with US antitrust laws.,GOOGL-2025-1A-0026,list_available → search_filings,2,7671,1489,0.011337,20.28367849998176,False,False,False,0,False,1,1,1,False,1,True,,True,,True,False,False,10.0
gX-009,extractiva,META,a2_retrieval,1,0,0,"En su informe 10-K de FY2025, Meta señala que la Ley de Mercados Digitales (DMA) de la Unión Europea le impone restricciones y obligaciones principalmente en tres áreas concretas: la combinación de datos entre servicios (combination of data across services), fusiones y adquisiciones (mergers and acquisitions) y el diseño de productos (product design). Además, estas obligaciones —exigibles desde marzo de 2024 para las empresas designadas como gatekeepers— incluyen cuantiosas sanciones por incumplimiento y han obligado a Meta a realizar modificaciones en sus prácticas y productos (como la revisión de su modelo de 'suscripción sin anuncios' y la introducción de anuncios menos personalizados).",,,,,2025,texto,"For example, the DMA in the European Union imposes restrictions and requirements on companies like ours, including in areas such as the combination of data across services, mergers and acquisitions, and product design.",META-2025-1A-0060,list_available → search_filings → search_filings → search_filings,4,19740,1763,0.02141625,53.278354100417346,False,False,False,0,False,3,3,3,False,3,True,,True,,True,False,True,1.0
gX-010,extractiva,AAPL,a2_retrieval,1,0,0,"En su informe 10-K para el ejercicio fiscal 2025, Apple declara que muchas de sus operaciones, tiendas e instalaciones, al igual que las operaciones críticas de sus proveedores y fabricantes contratados, se encuentran en ubicaciones propensas a terremotos y otros desastres naturales. Además, señala que el cambio climático global está provocando que ciertos tipos de desastres naturales y fenómenos meteorológicos extremos ocurran con mayor frecuencia o mayor intensidad, lo que podría impedir o dificultar la fabricación y entrega de productos, generar retrasos e ineficiencias en su cadena de suministro y elevar los costes de la compañía.",,,,,2025,texto,"Many of the Company’s operations, retail stores and facilities, as well as critical business operations of the Company’s suppliers and contract manufacturers, are in locations that are prone to earthquakes and other natural disasters.",AAPL-2025-1A-0003,list_available → search_filings,2,7180,951,0.00895125,21.69176289997995,False,False,False,0,False,1,1,1,False,1,True,,True,,True,False,False,14.0
