id,familia,ticker,arquitectura,rep,reintentos_vacios,reintentos_proveedor,respuesta,cifra_dada,cifra_esperada,ratio_cifra,unidad,ejercicio,fuente,cita_dada,chunk_id,herramientas,n_llamadas,tokens_in,tokens_out,coste_usd,latencia_s,sin_respuesta,corrigio_cifra,corrigio_cita,reintentos_esquema,limite_alcanzado,n_busquedas,busquedas_con_ticker,busquedas_con_item,uso_read_section,busquedas_reescritas,cita,cifra,trayectoria,honestidad,acierto,obsoleta,recall5,pos_ancla
gX-001,numerica,NVDA,baseline,3,0,0,Los ingresos de NVIDIA en el ejercicio fiscal 2025 fueron de 130.497 millones de dólares (130.497.000.000 USD).,130497000000.0,130497000000.0,1.0,USD,2025,xbrl,,,list_available → get_xbrl_fact,2,4004,714,0.0056805,15.127656999975443,False,False,False,0,False,0,0,0,False,0,,True,True,,True,False,,
gX-002,numerica,AAPL,baseline,3,0,0,El beneficio neto (Net Income) de Apple Inc. en el ejercicio fiscal 2025 fue de 112.010 millones de dólares (112.010.000.000 USD).,112010000000.0,112010000000.0,1.0,USD,2025,xbrl,"AAPL FY2025 · NetIncomeLoss = 112,010,000,000 USD (cierre de ejercicio 2025-09-27, según el 10-K)",,list_available → get_xbrl_fact,2,3704,418,0.0043455,9.509514299686998,False,False,False,0,False,0,0,0,False,0,,True,True,,True,False,,
gX-003,numerica,GOOGL,baseline,3,0,0,Los ingresos totales de Alphabet en el ejercicio fiscal 2025 fueron de 402.836.000.000 USD (aproximadamente 402.836 millones de dólares).,402836000000.0,402836000000.0,1.0,USD,2025,xbrl,,,list_available → get_xbrl_fact,2,3730,384,0.0042375,9.194447599817067,False,False,False,0,False,0,0,0,False,0,,True,True,,True,False,,
gX-004,numerica,META,baseline,3,0,0,"En el ejercicio fiscal 2025, Meta Platforms, Inc. gastó 57.372 millones de dólares (57.372.000.000 USD) en investigación y desarrollo (Research and Development Expense).",57372000000.0,57372000000.0,1.0,USD,2025,xbrl,,,list_available → get_xbrl_fact,2,3707,524,0.00474525,20.652641099877656,False,False,False,0,False,0,0,0,False,0,,True,True,,True,False,,
gX-005,numerica,AMZN,baseline,3,0,0,"En el ejercicio fiscal 2025, Amazon generó 139.514 millones de dólares (139.514.000.000 USD) de efectivo neto procedente de sus actividades de explotación (Net cash provided by operating activities).",139514000000.0,139514000000.0,1.0,USD,2025,ambas,"Net cash provided by (used in) operating activities: 139,514 (in millions)",AMZN-2025-8-0003,list_available → get_xbrl_fact → search_filings,3,6172,895,0.00798525,14.74419269990176,False,False,False,0,False,1,1,1,False,0,,True,True,,True,False,,
gX-006,numerica,MSFT,baseline,3,0,0,El pasivo total (Liabilities) de Microsoft al cierre del ejercicio fiscal 2024 (30 de junio de 2024) ascendía a 243.686 millones de dólares (243.686.000.000 USD).,243686000000.0,243686000000.0,1.0,USD,2024,xbrl,,,list_available → get_xbrl_fact,2,3766,469,0.00458325,9.146758399903774,False,False,False,0,False,0,0,0,False,0,,True,True,,True,False,,
gX-007,extractiva,NVDA,baseline,3,0,0,"En su informe 10-K correspondiente al ejercicio fiscal 2025 (FY2025), NVIDIA describe el mercado chino como un entorno altamente competitivo en el que su posición competitiva se ha visto perjudicada por los controles a la exportación estadounidenses. Los aspectos clave destacados por la compañía son:

1. Entorno de mercado y peso relativo: NVIDIA señala expresamente que «el mercado en China para soluciones de centros de datos sigue siendo competitivo». Aunque sus ingresos de Data Center en China crecieron en el ejercicio fiscal 2025 gracias al lanzamiento de productos adaptados que no requieren licencia de exportación, estos se mantienen (como porcentaje de los ingresos totales de Data Center) muy por debajo de los niveles previos a los controles de exportación introducidos en octubre de 2023 (chunk NVDA-2025-7-0004).

2. Desventaja competitiva frente a rivales: Los controles y requisitos de licencias del gobierno de EE. UU. (USG) colocan a NVIDIA en desventaja frente a competidores cuyos chips quedan fuera de dichas restricciones. Además, estos procesos engorrosos e inciertos incentivan a los clientes en China a buscar alternativas, beneficiando directamente a proveedores de semiconductores locales (chinos), así como europeos e israelíes (chunks NVDA-2025-1A-0036, NVDA-2025-1A-0037).

3. Impulso a proveedores locales e intervenciones regulatorias chinas: El gobierno chino promueve activamente que los clientes compren a competidores locales con base en China y ha publicado normativas y planes de acción (como estándares de rendimiento por vatio y ancho de banda de memoria para centros de datos) que podrían restringir el uso de aceleradores de NVIDIA. Asimismo, los reguladores chinos investigan si el cumplimiento de los controles estadounidenses constituye una discriminación injusta contra los clientes en China (chunks NVDA-2025-1A-0032, NVDA-2025-1A-0038).",,,,,2025,texto,"The market in China for datacenter solutions remains competitive. We will continue to comply with export controls while serving our customers. [...] Our competitive position has been harmed by the existing export controls, and our competitive position and future results may be further harmed, over the long term, if there are further changes in the USG’s export controls.",NVDA-2025-7-0004,list_available → search_filings → search_filings → search_filings → search_filings,5,31669,1602,0.02975925,25.061279700137675,False,False,False,0,False,4,4,4,False,0,True,,True,,True,False,False,16.0
gX-008,extractiva,GOOGL,baseline,3,0,0,"En el apartado de factores de riesgo (Item 1A) de su informe 10-K para el ejercicio fiscal 2025, Alphabet menciona dos demandas antimonopolio principales interpuestas por el Departamento de Justicia de EE. UU. (DOJ) junto con varios fiscales generales estatales:

1. **Demanda sobre Búsqueda y Publicidad en Búsquedas (Search and Search Advertising):** El DOJ y fiscales estatales demandaron a Google ante el Tribunal de Distrito de EE. UU. para el Distrito de Columbia. En agosto de 2024 el tribunal falló contra Google y, en diciembre de 2025, emitió una sentencia definitiva imponiendo remedios restrictivos a la distribución de sus servicios y obligando a compartir ciertos datos de búsqueda y sindicación con competidores. En enero de 2026 Google apeló y solicitó pausar la implementación de ciertos remedios, y en febrero de 2026 el DOJ y los estados también apelaron.

2. **Demanda sobre Tecnología Publicitaria (Ad Tech):** Presentada en enero de 2023 por el DOJ y fiscales estatales en el Distrito Este de Virginia. En abril de 2025, el juez dictó una sentencia mixta (desestimó que las herramientas para anunciantes y las adquisiciones de DoubleClick y AdMeld fueran anticompetitivas, pero determinó que las herramientas para editores/publishers excluían indebidamente a rivales). Tras la fase de determinación de remedios (donde el DOJ propuso remedios estructurales) y los alegatos finales de noviembre de 2025, Alphabet se encuentra a la espera de la sentencia definitiva de remedios para apelar.",,,,,2025,texto,"the DOJ and a number of state Attorneys General filed a lawsuit concerning our Search and Search advertising practices and our compliance with US antitrust laws. [...] In January 2023, the DOJ and a number of state Attorneys General sued in the Eastern District of Virginia alleging similar antitrust violations relating to our advertising technology.",GOOGL-2025-1A-0026,list_available → search_filings,2,6410,1089,0.00889125,11.484969499986619,False,False,False,0,False,1,1,1,False,0,True,,True,,True,False,True,2.0
gX-009,extractiva,META,baseline,3,0,0,"En su informe 10-K para el ejercicio fiscal 2025 (FY2025), Meta señala que la Ley de Mercados Digitales (DMA, por sus siglas en inglés) de la Unión Europea impone a las compañías designadas como «gatekeepers» restricciones y obligaciones concretas en las siguientes áreas:

1. **Combinación de datos entre servicios:** Restricciones y requisitos relativos al cruzamiento o combinación de datos de usuarios entre sus distintas plataformas y servicios.
2. **Fusiones y adquisiciones:** Requisitos y limitaciones regulatorias aplicables a operaciones corporativas y de concentración.
3. **Diseño de productos y prácticas comerciales:** Obligaciones de realizar modificaciones en el diseño de sus productos y herramientas para dar a los usuarios control sobre sus señales de datos y limitar el uso de dichos datos para publicidad.
4. **Modelos de consentimiento y publicidad:** Meta destaca los procedimientos y la decisión de la Comisión Europea sobre su modelo de «suscripción sin anuncios» (*subscription for no ads*), que obligó a introducir la opción de anuncios menos personalizados (*less personalized ads* o LPA).

Meta añade que estas obligaciones entraron en vigor para los *gatekeepers* en marzo de 2024 y conllevan significativos costes de cumplimiento operativo, riesgos de sanciones graves por incumplimiento e incertidumbre sujeta a futuras interpretaciones regulatorias.",,,,,2025,texto,"For example, the DMA in the European Union imposes restrictions and requirements on companies like ours, including in areas such as the combination of data across services, mergers and acquisitions, and product design. The DMA also includes significant penalties for non-compliance, and its key requirements are enforceable against designated gatekeeper companies as of March 2024.",META-2025-1A-0060,list_available → search_filings → search_filings → search_filings → search_filings,5,32121,1564,0.02995575,31.514991499949247,False,False,False,0,False,4,4,3,False,0,True,,True,,True,False,True,1.0
gX-010,extractiva,AAPL,baseline,3,0,0,"En su informe 10-K para el ejercicio fiscal 2025 (Item 1A), Apple declara que muchas de sus operaciones, tiendas minoristas e instalaciones, así como operaciones comerciales críticas de sus proveedores y fabricantes por contrato, están situadas en ubicaciones propensas a terremotos y otros desastres naturales. Asimismo, advierte que el cambio climático global está provocando que ciertos tipos de desastres naturales y fenómenos meteorológicos extremos ocurran con mayor frecuencia o mayor intensidad. Dichos eventos pueden dificultar o imposibilitar la fabricación y entrega de productos, generar retrasos e ineficiencias en la cadena de suministro, provocar interrupciones en sus servicios, elevar los costes y afectar negativamente la demanda y el gasto de los consumidores en las zonas afectadas.",,,,,2025,texto,"Many of the Company’s operations, retail stores and facilities, as well as critical business operations of the Company’s suppliers and contract manufacturers, are in locations that are prone to earthquakes and other natural disasters. Global climate change is resulting in certain types of natural disasters and extreme weather occurring more frequently or with more intense effects.",AAPL-2025-1A-0003,list_available → search_filings,2,5882,919,0.00785775,20.9864488998428,False,False,False,0,False,1,1,1,False,0,True,,True,,True,False,False,21.0
