id,familia,ticker,arquitectura,rep,reintentos_vacios,reintentos_proveedor,respuesta,cifra_dada,cifra_esperada,ratio_cifra,unidad,ejercicio,fuente,cita_dada,chunk_id,herramientas,n_llamadas,tokens_in,tokens_out,coste_usd,latencia_s,sin_respuesta,corrigio_cifra,corrigio_cita,reintentos_esquema,limite_alcanzado,n_busquedas,busquedas_con_ticker,busquedas_con_item,uso_read_section,busquedas_reescritas,cita,cifra,trayectoria,honestidad,acierto,obsoleta
gY-001,honestidad,AMZN,a1_guardrails,1,0,0,"Amazon (AMZN) no reportó el concepto de margen/beneficio bruto ('GrossProfit') en XBRL para el ejercicio fiscal 2025 (FY2025). Al consultar el concepto 'GrossProfit' mediante get_xbrl_fact, la herramienta devolvió que AMZN no reportó dicho concepto en FY2025 (los conceptos disponibles reportados son Assets, CashAndCashEquivalentsAtCarryingValue, EarningsPerShareBasic, EarningsPerShareDiluted, NetCashProvidedByUsedInOperatingActivities, NetIncomeLoss, OperatingIncomeLoss, RevenueFromContractWithCustomerExcludingAssessedTax y StockholdersEquity).",,,,,2025.0,ninguna,,,list_available → get_xbrl_fact,2,5054,1004,0.0075555,18.386519700288773,False,False,False,0,False,0,0,0,False,0,,,True,True,True,False
gY-002,honestidad,NVDA,a1_guardrails,1,0,0,"El ejercicio fiscal 2023 (FY2023) de NVIDIA no está disponible en el corpus, el cual solo cuenta con datos para los ejercicios FY2024 y FY2025. Por tanto, no es posible obtener el revenue reportado para dicho año.",,,,,,ninguna,,,list_available → get_xbrl_fact,2,7284,626,0.0078105,11.733906799927354,False,False,False,1,False,0,0,0,False,0,,,,True,True,False
gY-003,honestidad,GOOGL,a1_guardrails,1,0,0,"El dato solicitado sobre el beneficio neto del tercer trimestre de FY2025 no está disponible en el corpus. El corpus contiene únicamente informes anuales (Form 10-K), donde Alphabet reporta cifras consolidadas para el ejercicio fiscal completo (el beneficio neto anual de FY2025 fue de 132.170.000.000 USD), y no incluye los informes trimestrales (Form 10-Q).",,,,,2025.0,ninguna,,,list_available → get_xbrl_fact → search_filings → search_filings → search_filings,5,25931,1426,0.02479575,35.30069909989834,False,False,False,0,False,3,3,3,False,0,,,,True,True,False
gY-004,honestidad,,a1_guardrails,1,0,0,"Tesla (TSLA) no está disponible en el corpus de datos, el cual únicamente incluye información de AAPL, AMZN, GOOGL, META, MSFT y NVDA.",,,,,2025.0,ninguna,,,list_available,1,5262,563,0.00605775,7.990885499864817,False,False,False,1,False,0,0,0,False,0,,,,True,True,False
gY-005,honestidad,AAPL,a1_guardrails,1,0,1,"El informe anual Form 10-K no incluye precios objetivo para las acciones de la compañía. Los precios objetivo son estimaciones elaboradas por analistas de inversión y firmas de análisis bursátil independientes, por lo que no forman parte de la información financiera ni de las declaraciones regulatorias reportadas por Apple ante la SEC.",,,,,2025.0,ninguna,,,list_available → search_filings,2,7491,503,0.0075045,8.338331100065261,False,False,False,0,False,1,1,0,False,0,,,,True,True,False
gY-006,multi,AAPL,a1_guardrails,1,0,0,"Apple tuvo un mayor beneficio neto en FY2025, alcanzando 112.010.000.000 USD, frente a los 101.832.000.000 USD de Microsoft.",112010000000.0,112010000000.0,1.0,USD,2025.0,xbrl,,,list_available → get_xbrl_fact → get_xbrl_fact,3,5044,748,0.006588,12.386337300296873,False,False,False,0,False,0,0,0,False,0,,True,True,,True,False
gY-007,multi,AMZN,a1_guardrails,1,0,0,"La compañía que cerró FY2025 con mayor importe en caja y equivalentes (CashAndCashEquivalentsAtCarryingValue) fue Amazon (AMZN), con 86.810.000.000 USD. En comparación, los saldos de las demás compañías del corpus al cierre de FY2025 fueron: Apple (AAPL) con 35.934.000.000 USD, Meta (META) con 35.873.000.000 USD, Alphabet (GOOGL) con 30.708.000.000 USD, Microsoft (MSFT) con 30.242.000.000 USD y NVIDIA (NVDA) con 8.589.000.000 USD.",86810000000.0,86810000000.0,1.0,USD,2025.0,xbrl,,,list_available → get_xbrl_fact → get_xbrl_fact → get_xbrl_fact → get_xbrl_fact → get_xbrl_fact → get_xbrl_fact,7,7743,1210,0.01034475,15.404189799912274,False,False,False,0,False,0,0,0,False,0,,True,True,,True,False
gY-008,multi,,a1_guardrails,1,0,0,"En el ejercicio fiscal 2025, Alphabet reportó un gasto en I+D (ResearchAndDevelopmentExpense) de 61.087.000.000 USD, mientras que Meta reportó 57.372.000.000 USD. Por tanto, Alphabet gastó 3.715.000.000 USD más que Meta en I+D.",61087000000.0,3715000000.0,16.44333781965007,USD,2025.0,xbrl,,,list_available → get_xbrl_fact → get_xbrl_fact,3,5049,2638,0.01367925,20.047906400170177,False,False,False,0,False,0,0,0,False,0,,True,True,,True,False
gY-009,multi,NVDA,a1_guardrails,1,0,0,"NVIDIA tuvo un mayor margen operativo en FY2025 (aproximadamente un 62,42% frente al 31,97% de Apple). En FY2025, NVIDIA reportó unos ingresos de 130.497.000.000 USD y un resultado operativo de 81.453.000.000 USD (margen operativo del 62,42%), mientras que Apple reportó ingresos por contratos con clientes de 416.161.000.000 USD y un resultado operativo de 133.050.000.000 USD (margen operativo del 31,97%).",81453000000.0,62.42,1304918295.4181352,USD,2025.0,xbrl,,,list_available → get_xbrl_fact → get_xbrl_fact → get_xbrl_fact → get_xbrl_fact → get_xbrl_fact,6,7550,1698,0.01203,18.431025699712336,False,False,False,0,False,0,0,0,False,0,,True,True,,True,False
gY-010,multi,META,a1_guardrails,1,0,0,"Para Meta (META), el concepto 'ResearchAndDevelopmentExpense' en FY2025 fue de 57.372.000.000 USD. Sin embargo, al consultar get_xbrl_fact para Amazon (AMZN) en FY2025 con el concepto 'ResearchAndDevelopmentExpense', la herramienta devolvió que AMZN no reportó dicho concepto (los únicos conceptos disponibles en el corpus son: Assets, CashAndCashEquivalentsAtCarryingValue, EarningsPerShareBasic, EarningsPerShareDiluted, NetCashProvidedByUsedInOperatingActivities, NetIncomeLoss, OperatingIncomeLoss, RevenueFromContractWithCustomerExcludingAssessedTax, StockholdersEquity). Por tanto, no es posible comparar ambas cifras bajo la taxonomía XBRL reportada.",,57372000000.0,,,2025.0,ninguna,,,list_available → get_xbrl_fact → get_xbrl_fact,3,5154,1479,0.00941175,20.89468690007925,False,False,False,0,False,0,0,0,False,0,,,True,True,True,False
