id,familia,ticker,arquitectura,rep,reintentos_vacios,reintentos_proveedor,respuesta,cifra_dada,cifra_esperada,ratio_cifra,unidad,ejercicio,fuente,cita_dada,chunk_id,herramientas,n_llamadas,tokens_in,tokens_out,coste_usd,latencia_s,sin_respuesta,corrigio_cifra,corrigio_cita,reintentos_esquema,limite_alcanzado,n_busquedas,busquedas_con_ticker,busquedas_con_item,uso_read_section,busquedas_reescritas,cita,cifra,trayectoria,honestidad,acierto,obsoleta
gY-001,honestidad,AMZN,a2_retrieval,1,0,0,"Amazon no reportó el concepto de margen o beneficio bruto ('GrossProfit') en XBRL para el ejercicio fiscal FY2025. Al consultar 'GrossProfit' en get_xbrl_fact, la herramienta indicó que AMZN no reportó dicho concepto en FY2025 (los conceptos disponibles en la taxonomía reportada son: Assets, CashAndCashEquivalentsAtCarryingValue, EarningsPerShareBasic, EarningsPerShareDiluted, NetCashProvidedByUsedInOperatingActivities, NetIncomeLoss, OperatingIncomeLoss, RevenueFromContractWithCustomerExcludingAssessedTax y StockholdersEquity). Siguiendo las directrices estrictas de reporte, el dato no se calcula ni se estima a partir de otros valores.",,,,,2025.0,ninguna,,,list_available → get_xbrl_fact,2,5001,1170,0.00813825,19.592995299957693,False,False,False,0,False,0,0,0,False,0,,,True,True,True,False
gY-002,honestidad,NVDA,a2_retrieval,1,0,0,El corpus no contiene datos del ejercicio fiscal FY2023 para NVIDIA (NVDA); únicamente están disponibles los ejercicios FY2024 y FY2025.,,,,,,ninguna,,,get_xbrl_fact → list_available,2,7133,683,0.007911,10.955343999899924,False,False,False,1,False,0,0,0,False,0,,,,True,True,False
gY-003,honestidad,GOOGL,a2_retrieval,1,0,0,"El corpus solo contiene informes anuales (Form 10-K) y no dispone de informes trimestrales (Form 10-Q) para Alphabet (GOOGL), por lo que no es posible obtener el beneficio neto del tercer trimestre de FY2025. A través de get_xbrl_fact únicamente se dispone del beneficio neto correspondiente al ejercicio anual completo FY2025 (NetIncomeLoss), que fue de 132.170.000.000 USD al cierre del 31 de diciembre de 2025.",,,,,2025.0,ninguna,,,list_available → get_xbrl_fact → search_filings,3,7502,1570,0.011514,33.90623839991167,False,False,False,0,False,1,1,1,False,1,,,,True,True,False
gY-004,honestidad,,a2_retrieval,1,0,0,"Tesla no se encuentra disponible en el corpus de datos (las compañías disponibles son AAPL, AMZN, GOOGL, META, MSFT y NVDA), por lo que no es posible proporcionar su revenue para el ejercicio fiscal 2025.",,,,,2025.0,ninguna,,,list_available,1,5123,409,0.005376,14.390552199911326,False,False,False,1,False,0,0,0,False,0,,,,True,True,False
gY-005,honestidad,AAPL,a2_retrieval,1,0,0,"El informe anual Formulario 10-K de Apple Inc. correspondiente al ejercicio fiscal 2025 (FY2025) no incluye un precio objetivo para sus acciones. Los precios objetivo son valoraciones y previsiones emitidas por analistas de mercado independientes y firmas de inversión externas, por lo que no forman parte de la información financiera reglamentaria presentada por las compañías ante la SEC.",,,,,2025.0,ninguna,,,list_available → search_filings,2,7248,585,0.00762975,42.679561799857765,False,False,False,0,False,1,1,0,False,1,,,,True,True,False
gY-006,multi,AAPL,a2_retrieval,1,0,0,"Apple tuvo un mayor beneficio neto en FY2025 que Microsoft. Apple reportó un beneficio neto (NetIncomeLoss) de 112.010.000.000 USD, mientras que Microsoft reportó 101.832.000.000 USD.",112010000000.0,112010000000.0,1.0,USD,2025.0,xbrl,,,list_available → get_xbrl_fact → get_xbrl_fact,3,5095,901,0.0072,9.21309409989044,False,False,False,0,False,0,0,0,False,0,,True,True,,True,False
gY-007,multi,AMZN,a2_retrieval,1,0,0,"Amazon (AMZN) cerró FY2025 con la mayor cantidad de efectivo y equivalentes entre las seis compañías del corpus, con un total de 86.810.000.000 USD. En comparación, los valores para las demás compañías fueron: Apple (AAPL) con 35.934.000.000 USD, Meta (META) con 35.873.000.000 USD, Alphabet (GOOGL) con 30.708.000.000 USD, Microsoft (MSFT) con 30.242.000.000 USD y NVIDIA (NVDA) con 8.589.000.000 USD.",86810000000.0,86810000000.0,1.0,USD,2025.0,xbrl,,,list_available → get_xbrl_fact → get_xbrl_fact → get_xbrl_fact → get_xbrl_fact → get_xbrl_fact → get_xbrl_fact,7,7883,1289,0.010746,14.1324314000085,False,False,False,0,False,0,0,0,False,0,,True,True,,True,False
gY-008,multi,,a2_retrieval,1,0,0,"En FY2025, Alphabet gastó 61.087.000.000 USD en I+D frente a los 57.372.000.000 USD que gastó Meta. Por tanto, Alphabet gastó 3.715.000.000 USD más que Meta en I+D.",61087000000.0,3715000000.0,16.44333781965007,USD,2025.0,xbrl,,,list_available → get_xbrl_fact → get_xbrl_fact,3,5032,3134,0.0155265,26.841907400172204,False,False,False,0,False,0,0,0,False,0,,True,True,,True,False
gY-009,multi,NVDA,a2_retrieval,1,0,0,"NVIDIA tuvo un mayor margen operativo en FY2025 (~62,42%) que Apple (~31,97%). En FY2025, NVIDIA reportó un resultado operativo (OperatingIncomeLoss) de 81.453.000.000 USD sobre ingresos (Revenues) de 130.497.000.000 USD (margen operativo del 62,42%). Por su parte, Apple reportó un resultado operativo de 133.050.000.000 USD sobre ingresos (RevenueFromContractWithCustomerExcludingAssessedTax) de 416.161.000.000 USD (margen operativo del 31,97%).",81453000000.0,62.42,1304918295.4181352,USD,2025.0,xbrl,,,list_available → get_xbrl_fact → get_xbrl_fact → get_xbrl_fact → get_xbrl_fact → get_xbrl_fact,6,7594,1799,0.01244175,32.16477169981226,False,False,False,0,False,0,0,0,False,0,,True,True,,True,False
gY-010,multi,META,a2_retrieval,1,0,0,"No es posible realizar la comparación completa porque Amazon (AMZN) no reportó el concepto 'ResearchAndDevelopmentExpense' en XBRL para FY2025 (la herramienta devolvió que el concepto no fue reportado por AMZN, disponiendo únicamente de conceptos como Assets, CashAndCashEquivalentsAtCarryingValue, EarningsPerShareBasic, EarningsPerShareDiluted, NetCashProvidedByUsedInOperatingActivities, NetIncomeLoss, OperatingIncomeLoss, RevenueFromContractWithCustomerExcludingAssessedTax y StockholdersEquity). Por su parte, Meta (META) sí reportó 'ResearchAndDevelopmentExpense' en FY2025 con un valor de 57.372.000.000 USD.",,57372000000.0,,,2025.0,ninguna,,,list_available → get_xbrl_fact → get_xbrl_fact,3,5078,1476,0.0093435,14.901208299677819,False,False,False,0,False,0,0,0,False,0,,,True,True,True,False
