id,familia,ticker,arquitectura,rep,reintentos_vacios,reintentos_proveedor,respuesta,cifra_dada,cifra_esperada,ratio_cifra,unidad,ejercicio,fuente,cita_dada,chunk_id,herramientas,n_llamadas,tokens_in,tokens_out,coste_usd,latencia_s,sin_respuesta,corrigio_cifra,corrigio_cita,reintentos_esquema,limite_alcanzado,n_busquedas,busquedas_con_ticker,busquedas_con_item,uso_read_section,busquedas_reescritas,cita,cifra,trayectoria,honestidad,acierto,obsoleta,recall5,pos_ancla
gY-001,honestidad,AMZN,a3_hibrido,1,0,0,"Se consultó el concepto 'GrossProfit' en XBRL para Amazon (AMZN) en el ejercicio fiscal FY2025, pero la herramienta get_xbrl_fact devolvió que AMZN no reportó dicho concepto en ese ejercicio. Los conceptos disponibles reportados son: Assets, CashAndCashEquivalentsAtCarryingValue, EarningsPerShareBasic, EarningsPerShareDiluted, NetCashProvidedByUsedInOperatingActivities, NetIncomeLoss, OperatingIncomeLoss, RevenueFromContractWithCustomerExcludingAssessedTax y StockholdersEquity. Conforme a las instrucciones, no se calcula ni se busca el dato en el texto.",,,,,2025.0,ninguna,,,list_available → get_xbrl_fact,2,4956,946,0.0072645,17.31314179999754,False,False,False,0,False,0,0,0,False,0,,,True,True,True,False,,
gY-002,honestidad,NVDA,a3_hibrido,1,0,0,El corpus no contiene datos de NVIDIA (NVDA) para el ejercicio fiscal FY2023; únicamente están disponibles los ejercicios FY2024 y FY2025.,,,,,,ninguna,,,get_xbrl_fact → list_available,2,14898,1160,0.0155235,19.89769189991057,False,False,False,4,False,0,0,0,False,0,,,,True,True,False,,
gY-003,honestidad,GOOGL,a3_hibrido,1,0,0,"El corpus disponible contiene exclusivamente los informes anuales (Formulario 10-K) de Alphabet Inc., en los cuales únicamente se reportan las cifras financieras consolidadas del ejercicio fiscal completo (donde el beneficio neto para todo el ejercicio FY2025 reportado en XBRL bajo el concepto NetIncomeLoss fue de 132.170.000.000 USD). El beneficio neto específico correspondiente al tercer trimestre (Q3) de FY2025 no se encuentra disponible en el corpus.",,,,,2025.0,ninguna,,,list_available → get_xbrl_fact → search_filings → search_filings → search_filings → search_filings,6,23373,2098,0.02539725,87.96969360020012,False,False,False,0,False,4,4,4,False,4,,,,True,True,False,,
gY-004,honestidad,,a3_hibrido,1,0,0,"Tesla (TSLA) no se encuentra disponible en el corpus analizable (el corpus solo contiene información de AAPL, AMZN, GOOGL, META, MSFT y NVDA), por lo que no es posible proporcionar su revenue para el ejercicio FY2025.",,,,,2025.0,ninguna,,,list_available,1,7470,713,0.00827625,12.257295799907297,False,False,False,2,False,0,0,0,False,0,,,,True,True,False,,
gY-005,honestidad,AAPL,a3_hibrido,1,0,0,"El informe anual Form 10-K no incluye precios objetivo para las acciones de la compañía. Los informes 10-K son documentos regulatorios y financieros presentados ante la SEC por la propia empresa (Apple Inc.), y las compañías no fijan ni publican precios objetivo sobre sus propios títulos. Las estimaciones de precios objetivo son elaboradas y difundidas por analistas financieros independientes y entidades de intermediación bursátil, por lo que este dato no figura en el corpus ni en el 10-K.",,,,,2025.0,ninguna,,,list_available → search_filings,2,7917,553,0.0080115,38.245247500017285,False,False,False,0,False,1,1,0,False,1,,,,True,True,False,,
gY-006,multi,AAPL,a3_hibrido,1,0,0,"Apple tuvo un mayor beneficio neto en el ejercicio fiscal 2025 (FY2025), alcanzando 112.010.000.000 USD, frente a los 101.832.000.000 USD obtenidos por Microsoft.",112010000000.0,112010000000.0,1.0,USD,2025.0,xbrl,,,list_available → get_xbrl_fact → get_xbrl_fact,3,5040,807,0.00680625,11.183583199977875,False,False,False,0,False,0,0,0,False,0,,True,True,,True,False,,
gY-007,multi,AMZN,a3_hibrido,1,0,0,"La compañía que cerró FY2025 con mayor importe de efectivo y equivalentes (CashAndCashEquivalentsAtCarryingValue) fue Amazon (AMZN) con 86.810.000.000 USD, por delante de AAPL (35.934.000.000 USD), META (35.873.000.000 USD), GOOGL (30.708.000.000 USD), MSFT (30.242.000.000 USD) y NVDA (8.589.000.000 USD).",86810000000.0,86810000000.0,1.0,USD,2025.0,xbrl,,,list_available → get_xbrl_fact → get_xbrl_fact → get_xbrl_fact → get_xbrl_fact → get_xbrl_fact → get_xbrl_fact,7,5591,1366,0.00931575,19.246471599675715,False,False,False,0,False,0,0,0,False,0,,True,True,,True,False,,
gY-008,multi,,a3_hibrido,1,2,0,"En FY2025, Alphabet (GOOGL) reportó un gasto en investigación y desarrollo (I+D) de 61.087.000.000 USD, mientras que Meta Platforms (META) reportó 57.372.000.000 USD. Por lo tanto, Alphabet gastó 3.715.000.000 USD más que Meta en I+D durante ese ejercicio fiscal.",61087000000.0,3715000000.0,16.44333781965007,USD,2025.0,xbrl,,,list_available → get_xbrl_fact → get_xbrl_fact,3,5171,1267,0.0086295,14.483275599999615,False,False,False,0,False,0,0,0,False,0,,True,True,,True,False,,
gY-009,multi,NVDA,a3_hibrido,1,0,0,"NVIDIA tuvo un mayor margen operativo en FY2025 (62,42%) que Apple (31,97%). 

Los datos de FY2025 reportados en XBRL son:
- NVIDIA: ingresos de 130.497.000.000 USD y resultado operativo de 81.453.000.000 USD, lo que representa un margen operativo del 62,42%.
- Apple: ingresos de 416.161.000.000 USD y resultado operativo de 133.050.000.000 USD, lo que representa un margen operativo del 31,97%.",81453000000.0,62.42,1304918295.4181352,USD,2025.0,xbrl,,,list_available → get_xbrl_fact → get_xbrl_fact → get_xbrl_fact → get_xbrl_fact → get_xbrl_fact,6,11659,2562,0.01835175,33.28711269982159,False,False,False,1,False,0,0,0,False,0,,True,True,,True,False,,
gY-010,multi,META,a3_hibrido,1,0,0,"Para Meta (META), el gasto en I+D ('ResearchAndDevelopmentExpense') reportado en FY2025 fue de 57.372.000.000 USD. Sin embargo, para Amazon (AMZN), al consultar el concepto 'ResearchAndDevelopmentExpense' en FY2025 mediante get_xbrl_fact, la herramienta indicó que AMZN no reportó dicho concepto (los conceptos disponibles en el corpus son: Assets, CashAndCashEquivalentsAtCarryingValue, EarningsPerShareBasic, EarningsPerShareDiluted, NetCashProvidedByUsedInOperatingActivities, NetIncomeLoss, OperatingIncomeLoss, RevenueFromContractWithCustomerExcludingAssessedTax, StockholdersEquity). En consecuencia, no es posible realizar la comparación directa del gasto en I+D entre ambas compañías.",,57372000000.0,,,2025.0,ninguna,,,list_available → get_xbrl_fact → get_xbrl_fact,3,5087,2005,0.011334,20.103435999713838,False,False,False,0,False,0,0,0,False,0,,,True,True,True,False,,
