id,familia,ticker,arquitectura,rep,reintentos_vacios,reintentos_proveedor,respuesta,cifra_dada,cifra_esperada,ratio_cifra,unidad,ejercicio,fuente,cita_dada,chunk_id,herramientas,n_llamadas,tokens_in,tokens_out,coste_usd,latencia_s,sin_respuesta,corrigio_cifra,corrigio_cita,reintentos_esquema,limite_alcanzado,n_busquedas,busquedas_con_ticker,busquedas_con_item,uso_read_section,busquedas_reescritas,cita,cifra,trayectoria,honestidad,acierto,obsoleta,recall5,pos_ancla
gX-001,numerica,NVDA,a1_guardrails,3,0,0,Los ingresos de NVIDIA en el ejercicio fiscal 2025 ascendieron a 130.497.000.000 USD.,130497000000.0,130497000000.0,1.0,USD,2025,xbrl,,,get_xbrl_fact → get_xbrl_fact,2,3093,529,0.0043035,6.140825899783522,False,False,False,0,False,0,0,0,False,0,,True,True,,True,False,,
gX-002,numerica,AAPL,a1_guardrails,3,0,0,El beneficio neto (Net Income) de Apple Inc. en el ejercicio fiscal 2025 fue de 112.010.000.000 USD.,112010000000.0,112010000000.0,1.0,USD,2025,xbrl,,,list_available → get_xbrl_fact,2,4949,521,0.0056655,13.10395159991458,False,False,False,0,False,0,0,0,False,0,,True,True,,True,False,,
gX-003,numerica,GOOGL,a1_guardrails,3,0,0,Los ingresos totales de Alphabet Inc. en el ejercicio fiscal 2025 fueron de 402.836.000.000 USD.,402836000000.0,402836000000.0,1.0,USD,2025,xbrl,,,list_available → get_xbrl_fact,2,4973,550,0.00579225,15.880683099851012,False,False,False,0,False,0,0,0,False,0,,True,True,,True,False,,
gX-004,numerica,META,a1_guardrails,3,0,0,"En el ejercicio fiscal 2025, Meta Platforms, Inc. gastó 57.372.000.000 USD en investigación y desarrollo (Research and Development).",57372000000.0,57372000000.0,1.0,USD,2025,xbrl,,,list_available → get_xbrl_fact,2,4966,649,0.00615825,9.837362200021744,False,False,False,0,False,0,0,0,False,0,,True,True,,True,False,,
gX-005,numerica,AMZN,a1_guardrails,3,0,0,"En el ejercicio fiscal 2025, Amazon generó 139.514.000.000 USD a través de sus actividades de explotación (flujo de caja operativo).",139514000000.0,139514000000.0,1.0,USD,2025,xbrl,,,list_available → get_xbrl_fact,2,5050,674,0.006315,8.375535199884325,False,False,False,0,False,0,0,0,False,0,,True,True,,True,False,,
gX-006,numerica,MSFT,a1_guardrails,3,0,0,"Al cierre del ejercicio fiscal 2024 (30 de junio de 2024), el pasivo total (Liabilities) de Microsoft ascendía a 243.686.000.000 USD.",243686000000.0,243686000000.0,1.0,USD,2024,xbrl,,,get_xbrl_fact,1,2957,472,0.00398775,5.458791499957442,False,False,False,0,False,0,0,0,False,0,,True,True,,True,False,,
gX-007,extractiva,NVDA,a1_guardrails,3,0,0,"En su informe 10-K de FY2025, NVIDIA describe la situación competitiva en el mercado chino destacando los siguientes aspectos clave:

1. Dinámica de mercado y competencia local: Señala que el mercado de soluciones para centros de datos en China sigue siendo altamente competitivo. Los requisitos y restricciones de licencias benefician a competidores cuyos productos no están sujetos a tales controles, empujando a los clientes en China a buscar alternativas procedentes de proveedores de semiconductores locales (basados en China), así como de Europa e Israel, o a desarrollar soluciones propias internas.

2. Impacto de los controles de exportación de EE. UU.: La compañía subraya que su posición competitiva se ha visto perjudicada por los controles de exportación vigentes del gobierno estadounidense. Aunque lanzó y escaló productos diseñados específicamente para China que no requieren licencia de exportación —lo que permitió que sus ingresos de Data Center en China crecieran en el ejercicio fiscal 2025—, estos ingresos como porcentaje del total de Data Center se mantienen muy por debajo de los niveles observados antes de las restricciones impuestas en octubre de 2023.

3. Intervención y políticas del gobierno chino: NVIDIA advierte que el gobierno chino puede alentar activamente a las empresas locales a adquirir productos de competidores radicados en China, imponer nuevos estándares técnicos de rendimiento y eficiencia en centros de datos que limiten la viabilidad de sus diseños, o implementar restricciones regulatorias e investigaciones adicionales sobre el cumplimiento de normativas de exportación por parte de NVIDIA.",,,,,2025,texto,The market in China for datacenter solutions remains competitive.,NVDA-2025-7-0004,list_available → search_filings → search_filings,3,14929,1908,0.01835175,20.276115499902517,False,False,False,0,False,2,2,2,False,0,True,,True,,True,False,False,16.0
gX-008,extractiva,GOOGL,a1_guardrails,3,0,0,"En los factores de riesgo (Item 1A) de su informe FY2025, Alphabet menciona dos demandas antimonopolio principales iniciadas por el Departamento de Justicia de EE. UU. (DOJ): 

1. Demanda sobre búsqueda y publicidad en búsquedas (Search and Search advertising): Presentada por el DOJ y fiscales generales estatales. En agosto de 2024, el Tribunal de Distrito de D.C. falló contra Google y, en diciembre de 2025, dictó una sentencia final con medidas correctivas (restricciones de distribución, obligación de compartir ciertos datos de búsqueda y ofrecer sindicación a competidores), apelada por ambas partes a inicios de 2026.

2. Demanda sobre tecnología publicitaria (Advertising technology): Presentada en enero de 2023 en el Distrito Este de Virginia por el DOJ y fiscales estatales. En abril de 2025 el juez emitió un fallo mixto determinando que las herramientas para editores/publishers excluían indebidamente a competidores. El DOJ ha solicitado medidas correctivas estructurales, habiéndose celebrado los alegatos finales en noviembre de 2025 a la espera de la sentencia definitiva de remedios.",,,,,2025,texto,the DOJ and a number of state Attorneys General filed a lawsuit concerning our Search and Search advertising practices and our compliance with US antitrust laws.,GOOGL-2025-1A-0026,list_available → search_filings,2,7669,1574,0.01165425,19.307671600021422,False,False,False,0,False,1,1,1,False,0,True,,True,,True,False,True,2.0
gX-009,extractiva,META,a1_guardrails,3,0,0,"En su informe 10-K para FY2025, Meta señala que la Ley de Mercados Digitales (DMA) de la Unión Europea impone restricciones y requisitos a las empresas designadas como guardianes de acceso (gatekeepers) en áreas concretas como la combinación de datos entre servicios (haciendo referencia específica al Artículo 5(2) respecto al consentimiento y su modelo de suscripción sin anuncios), fusiones y adquisiciones, y diseño de productos. Asimismo, la compañía destaca que estas obligaciones conllevan modificaciones significativas en sus prácticas comerciales, costes de cumplimiento y posibles sanciones sustanciales.",,,,,2025,texto,"For example, the DMA in the European Union imposes restrictions and requirements on companies like ours, including in areas such as the combination of data across services, mergers and acquisitions, and product design.",META-2025-1A-0060,list_available → search_filings → search_filings → search_filings → search_filings,5,30400,1918,0.0299925,30.90120160020888,False,False,False,0,False,4,4,4,False,0,True,,True,,True,False,True,1.0
gX-010,extractiva,AAPL,a1_guardrails,3,0,1,"En su informe 10-K para el ejercicio fiscal 2025, Apple declara que muchas de sus operaciones, tiendas minoristas e instalaciones, así como operaciones críticas de negocio de sus proveedores y fabricantes por contrato, se encuentran ubicadas en zonas propensas a terremotos y otros desastres naturales. Asimismo, señala que el cambio climático global está provocando que ciertos tipos de desastres naturales y fenómenos meteorológicos extremos ocurran con mayor frecuencia o mayor intensidad, lo que puede dificultar o imposibilitar la fabricación y entrega de productos, generar retrasos e ineficiencias en la cadena de suministro y aumentar los costes.",,,,,2025,texto,"Many of the Company’s operations, retail stores and facilities, as well as critical business operations of the Company’s suppliers and contract manufacturers, are in locations that are prone to earthquakes and other natural disasters.",AAPL-2025-1A-0003,list_available → search_filings,2,7183,929,0.008871,16.42283760011196,False,False,False,0,False,1,1,1,False,0,True,,True,,True,False,False,21.0
