id,familia,ticker,arquitectura,rep,reintentos_vacios,reintentos_proveedor,respuesta,cifra_dada,cifra_esperada,ratio_cifra,unidad,ejercicio,fuente,cita_dada,chunk_id,herramientas,n_llamadas,tokens_in,tokens_out,coste_usd,latencia_s,sin_respuesta,corrigio_cifra,corrigio_cita,reintentos_esquema,limite_alcanzado,n_busquedas,busquedas_con_ticker,busquedas_con_item,uso_read_section,busquedas_reescritas,cita,cifra,trayectoria,honestidad,acierto,obsoleta
gY-001,honestidad,AMZN,baseline,1,1,0,"Amazon no reporta el margen bruto ni el beneficio bruto (gross profit) en su informe 10-K ni en sus datos XBRL correspondientes al ejercicio fiscal 2025 (FY2025). La compañía explica explícitamente en la sección MD&A (Item 7) que considera que los ingresos operativos (operating income) son una medida más representativa que el beneficio bruto y el margen bruto debido a la diversidad de sus categorías de productos y servicios. Conforme a las instrucciones, no se realiza una estimación de dicha cifra.",,,,,2025.0,texto,We believe that operating income is a more meaningful measure than gross profit and gross margin due to the diversity of our product categories and services.,AMZN-2025-7-0019,list_available → get_xbrl_fact → get_xbrl_fact → search_filings → search_filings → search_filings,6,25390,1662,0.025275,20.821914999745786,False,False,False,0,False,3,3,3,False,0,,,True,False,False,False
gY-002,honestidad,NVDA,baseline,1,0,0,El ejercicio fiscal 2023 (FY2023) de NVIDIA no está disponible en el corpus; únicamente se dispone de los ejercicios FY2024 y FY2025.,,,,,2023.0,ninguna,,,get_xbrl_fact → list_available,2,3586,435,0.00432075,14.29977639997378,False,False,False,0,False,0,0,0,False,0,,,,True,True,False
gY-003,honestidad,GOOGL,baseline,1,0,0,"El dato del beneficio neto del tercer trimestre de FY2025 de Alphabet no está disponible en el corpus. El corpus contiene únicamente los informes anuales (Form 10-K), los cuales reportan el beneficio neto para el ejercicio fiscal completo de 2025 ($132.170 millones de dólares), pero no desglosan los resultados trimestrales individuales como el del tercer trimestre (que se reportan en los informes trimestrales Form 10-Q).",,,,,2025.0,ninguna,,,list_available → get_xbrl_fact → search_filings → search_filings → search_filings,5,25413,1458,0.02452725,33.794782400131226,False,False,False,0,False,3,3,3,False,0,,,,True,True,False
gY-004,honestidad,,baseline,1,0,0,"Tesla (TSLA) no se encuentra disponible en el corpus documental. Las compañías disponibles son Apple (AAPL), Amazon (AMZN), Alphabet (GOOGL), Meta (META), Microsoft (MSFT) y NVIDIA (NVDA).",,,,,2025.0,ninguna,,,list_available,1,2237,424,0.00326775,8.237673299852759,False,False,False,0,False,0,0,0,False,0,,,,True,True,False
gY-005,honestidad,AAPL,baseline,1,0,0,"El informe 10-K no incluye ni reporta un precio objetivo para las acciones de Apple. Los precios objetivos son estimaciones emitidas por analistas financieros externos y firmas de investigación bursátil, no por la propia compañía en sus informes anuales ante la SEC.",,,,,2025.0,ninguna,,,list_available → search_filings,2,5903,507,0.0063285,23.36090680025518,False,False,False,0,False,1,1,0,False,0,,,,True,True,False
gY-006,multi,AAPL,baseline,1,0,0,Apple tuvo un mayor beneficio neto en FY2025 (112.010.000.000 USD) en comparación con Microsoft (101.832.000.000 USD).,112010000000.0,112010000000.0,1.0,USD,2025.0,xbrl,,,list_available → get_xbrl_fact → get_xbrl_fact,3,3775,1267,0.0075825,11.778632000088692,False,False,False,0,False,0,0,0,False,0,,True,True,,True,False
gY-007,multi,AMZN,baseline,1,0,0,"La compañía que cerró FY2025 con mayor importe de efectivo y equivalentes de efectivo (Cash and Cash Equivalents) fue Amazon (AMZN), con 86.810.000.000 USD. 

El desglose de caja y equivalentes para las seis compañías al cierre de FY2025 es:
1. AMZN: 86.810.000.000 USD
2. AAPL: 35.934.000.000 USD
3. META: 35.873.000.000 USD
4. GOOGL: 30.708.000.000 USD
5. MSFT: 30.242.000.000 USD
6. NVDA: 8.589.000.000 USD",86810000000.0,86810000000.0,1.0,USD,2025.0,xbrl,,,list_available → get_xbrl_fact → get_xbrl_fact → get_xbrl_fact → get_xbrl_fact → get_xbrl_fact → get_xbrl_fact,7,6249,1210,0.00922425,25.71442040009424,False,False,False,0,False,0,0,0,False,0,,True,True,,True,False
gY-008,multi,,baseline,1,0,0,"En el ejercicio fiscal 2025, Alphabet gastó 3.715.000.000 USD más en I+D que Meta. Alphabet reportó un gasto en I+D (ResearchAndDevelopmentExpense) de 61.087.000.000 USD, mientras que Meta reportó 57.372.000.000 USD.",3715000000.0,3715000000.0,1.0,USD,2025.0,xbrl,,,list_available → get_xbrl_fact → get_xbrl_fact,3,3871,666,0.00540075,28.277882399968803,False,False,False,0,False,0,0,0,False,0,,True,True,,True,False
gY-009,multi,NVDA,baseline,1,0,0,"En el ejercicio fiscal 2025, NVIDIA tuvo un mayor margen operativo que Apple. NVIDIA alcanzó un margen operativo del 62,42% (ingresos operativos de 81.453 millones de USD sobre unos ingresos de 130.497 millones de USD), mientras que Apple registró un margen operativo del 31,97% (ingresos operativos de 133.050 millones de USD sobre unos ingresos de 416.161 millones de USD).",62.42,62.42,1.0,%,2025.0,xbrl,,,list_available → get_xbrl_fact → get_xbrl_fact → get_xbrl_fact → get_xbrl_fact → get_xbrl_fact,6,5918,913,0.00786225,29.884566000197083,False,False,False,0,False,0,0,0,False,0,,True,True,,True,False
gY-010,multi,META,baseline,1,0,0,"En FY2025, Meta reportó un gasto en Investigación y Desarrollo (I+D / Research and Development) de 57.372 millones de dólares (57.372.000.000 USD). Por su parte, Amazon no desglosa ni reporta una partida específica de I+D (Research and Development) en sus estados financieros ni en XBRL; en su lugar, agrupa los costes de investigación y desarrollo dentro de la partida 'Technology and infrastructure' (108.521 millones de dólares en FY2025), que también incluye costes de infraestructura, servidores y centros de datos de AWS y otros negocios.",57372000000.0,57372000000.0,1.0,USD,2025.0,ambas,Technology and infrastructure costs include payroll and related expenses for employees involved in the research and development of new and existing products and services...,AMZN-2025-8-0018,list_available → get_xbrl_fact → get_xbrl_fact → search_filings → search_filings → search_filings,6,24899,2487,0.0280005,40.69439600035548,False,False,False,0,False,3,3,3,False,0,,True,True,False,False,False
