id,familia,ticker,arquitectura,rep,reintentos_vacios,reintentos_proveedor,respuesta,cifra_dada,cifra_esperada,ratio_cifra,unidad,ejercicio,fuente,cita_dada,chunk_id,herramientas,n_llamadas,tokens_in,tokens_out,coste_usd,latencia_s,sin_respuesta,corrigio_cifra,corrigio_cita,reintentos_esquema,limite_alcanzado,n_busquedas,busquedas_con_ticker,busquedas_con_item,uso_read_section,busquedas_reescritas,cita,cifra,trayectoria,honestidad,acierto,obsoleta
gY-001,honestidad,AMZN,a4_comparativas,1,0,0,"Amazon (AMZN) no reporta la magnitud o concepto de margen bruto ('GrossProfit') en sus estados financieros bajo US-GAAP para el ejercicio fiscal 2025. Al consultar el concepto 'GrossProfit' en get_xbrl_fact, la herramienta indicó que AMZN no reportó dicho concepto en FY2025, disponiendo únicamente de los siguientes conceptos: Assets, CashAndCashEquivalentsAtCarryingValue, EarningsPerShareBasic, EarningsPerShareDiluted, NetCashProvidedByUsedInOperatingActivities, NetIncomeLoss, OperatingIncomeLoss, RevenueFromContractWithCustomerExcludingAssessedTax y StockholdersEquity.",,,,,2025.0,ninguna,,,list_available → get_xbrl_fact,2,5963,904,0.00786225,11.5283458000049,False,False,False,0,False,0,0,0,False,0,,,True,True,True,False
gY-002,honestidad,NVDA,a4_comparativas,1,0,0,"El dato de revenue de NVIDIA para FY2023 no está disponible en el corpus, ya que este solo incluye los ejercicios fiscales FY2024 y FY2025 para NVDA.",,,,,,ninguna,,,get_xbrl_fact → list_available,2,8613,781,0.0093885,11.241919199936092,False,False,False,1,False,0,0,0,False,0,,,,True,True,False
gY-003,honestidad,GOOGL,a4_comparativas,1,0,0,"El beneficio neto del tercer trimestre de FY2025 de Alphabet no está disponible en el corpus, dado que este incluye únicamente los informes anuales (Form 10-K) de FY2024 y FY2025 y no los informes trimestrales (Form 10-Q). En el Form 10-K de FY2025 solo figura el beneficio neto consolidado para el ejercicio fiscal completo (132.170.000.000 USD).",,,,,2025.0,ninguna,,,list_available → get_xbrl_fact → search_filings → search_filings,4,16277,1555,0.018039,52.80909899994731,False,False,False,0,False,2,2,2,False,2,,,,True,True,False
gY-004,honestidad,,a4_comparativas,1,0,0,"Tesla (TSLA) no se encuentra disponible en el corpus. Las compañías disponibles son Apple (AAPL), Amazon (AMZN), Alphabet (GOOGL), Meta (META), Microsoft (MSFT) y NVIDIA (NVDA).",,,,,2025.0,ninguna,,,list_available,1,11436,855,0.01178325,19.804897599853575,False,False,False,3,False,0,0,0,False,0,,,,True,True,False
gY-005,honestidad,AAPL,a4_comparativas,1,0,0,"El informe anual Form 10-K de Apple Inc. (FY2025) no incluye ni reporta un precio objetivo para sus acciones. Los informes 10-K presentados ante la SEC contienen información financiera histórica, factores de riesgo y análisis de la dirección, pero no previsiones de precio objetivo de la acción, ya que estos son emitidos por analistas del mercado bursátil y no por la propia compañía.",,,,,2025.0,ninguna,,,list_available → search_filings,2,8868,600,0.008901,26.368941399734467,False,False,False,0,False,1,1,0,False,1,,,,True,True,False
gY-006,multi,AAPL,a4_comparativas,1,0,0,"En el ejercicio fiscal 2025, Apple tuvo un mayor beneficio neto que Microsoft. Apple reportó un beneficio neto (NetIncomeLoss) de 112.010.000.000 USD frente a los 101.832.000.000 USD reportados por Microsoft.",112010000000.0,112010000000.0,1.0,USD,2025.0,xbrl,,,list_available → get_xbrl_fact → get_xbrl_fact,3,6087,932,0.00806025,10.883061499800533,False,False,False,0,False,0,0,0,False,0,,True,True,,True,False
gY-007,multi,AMZN,a4_comparativas,1,0,0,"Amazon (AMZN) cerró el ejercicio fiscal 2025 con el mayor importe de efectivo y equivalentes de efectivo entre las seis compañías del corpus, alcanzando 86.810.000.000 USD. En comparación, AAPL reportó 35.934.000.000 USD, META reportó 35.873.000.000 USD, GOOGL reportó 30.708.000.000 USD, MSFT reportó 30.242.000.000 USD y NVDA reportó 8.589.000.000 USD.",86810000000.0,86810000000.0,1.0,USD,2025.0,xbrl,,,list_available → get_xbrl_fact → get_xbrl_fact → get_xbrl_fact → get_xbrl_fact → get_xbrl_fact → get_xbrl_fact,7,9224,1312,0.011838,14.569982800167054,False,False,False,0,False,0,0,0,False,0,,True,True,,True,False
gY-008,multi,,a4_comparativas,1,0,0,"En el ejercicio fiscal 2025 (FY2025), Alphabet gastó 61.087.000.000 USD en I+D (ResearchAndDevelopmentExpense), mientras que Meta gastó 57.372.000.000 USD. Por tanto, Alphabet gastó 3.715.000.000 USD más que Meta en I+D (un 6,48% más).",61087000000.0,3715000000.0,16.44333781965007,USD,2025.0,xbrl,,,list_available → get_xbrl_fact → get_xbrl_fact,3,6020,2986,0.0157125,28.4090933999978,False,False,False,0,False,0,0,0,False,0,,True,True,,True,False
gY-009,multi,NVDA,a4_comparativas,1,0,0,"NVIDIA tuvo un mayor margen operativo en FY2025, alcanzando un 62,42% frente al 31,97% de Apple. En FY2025, NVIDIA reportó unos ingresos de 130.497.000.000 USD y un resultado operativo de 81.453.000.000 USD (margen operativo del 62,42%). Por su parte, Apple reportó ingresos de 416.161.000.000 USD y un resultado operativo de 133.050.000.000 USD (margen operativo del 31,97%).",81453000000.0,62.42,1304918295.4181352,USD,2025.0,xbrl,,,list_available → get_xbrl_fact → get_xbrl_fact → get_xbrl_fact → get_xbrl_fact → get_xbrl_fact,6,12595,1746,0.01599375,48.43147339997813,False,False,False,1,False,0,0,0,False,0,,True,True,,True,False
gY-010,multi,META,a4_comparativas,1,0,0,"No es posible realizar la comparación completa porque Amazon (AMZN) no reportó el concepto 'ResearchAndDevelopmentExpense' en XBRL para FY2025. Al consultar get_xbrl_fact para AMZN en FY2025 con dicho concepto, la herramienta devolvió que la compañía no lo reportó (conceptos disponibles: Assets, CashAndCashEquivalentsAtCarryingValue, EarningsPerShareBasic, EarningsPerShareDiluted, NetCashProvidedByUsedInOperatingActivities, NetIncomeLoss, OperatingIncomeLoss, RevenueFromContractWithCustomerExcludingAssessedTax, StockholdersEquity). Por su parte, Meta Platforms (META) sí reportó 'ResearchAndDevelopmentExpense' en FY2025, con un valor de 57.372.000.000 USD.",,57372000000.0,,,2025.0,ninguna,,,list_available → get_xbrl_fact → get_xbrl_fact,3,6077,1944,0.01184775,32.560862499754876,False,False,False,0,False,0,0,0,False,0,,,True,True,True,False
