id,familia,ticker,arquitectura,rep,reintentos_vacios,reintentos_proveedor,respuesta,cifra_dada,cifra_esperada,ratio_cifra,unidad,ejercicio,fuente,cita_dada,chunk_id,herramientas,n_llamadas,tokens_in,tokens_out,coste_usd,latencia_s,sin_respuesta,corrigio_cifra,corrigio_cita,reintentos_esquema,limite_alcanzado,n_busquedas,busquedas_con_ticker,busquedas_con_item,uso_read_section,busquedas_reescritas,cita,cifra,trayectoria,honestidad,acierto,obsoleta,recall5,pos_ancla
gX-001,numerica,NVDA,a6_cifras_texto,1,0,0,Los ingresos de NVIDIA en el ejercicio fiscal 2025 ascendieron a 130.497.000.000 USD.,130497000000.0,130497000000.0,1.0,USD,2025,xbrl,,,get_xbrl_fact,1,4397,723,0.006009,7.237711699679494,False,False,False,0,False,0,0,0,False,0,,True,True,,True,False,,
gX-002,numerica,AAPL,a6_cifras_texto,1,0,0,El beneficio neto de Apple en el ejercicio fiscal 2025 fue de 112.010.000.000 USD (112.010 millones de dólares).,112010000000.0,112010000000.0,1.0,USD,2025,xbrl,,,list_available → get_xbrl_fact,2,7112,492,0.007179,20.10985399968922,False,False,False,0,False,0,0,0,False,0,,True,True,,True,False,,
gX-003,numerica,GOOGL,a6_cifras_texto,1,0,0,Los ingresos totales de Alphabet en el ejercicio fiscal 2025 fueron de 402.836.000.000 USD (aproximadamente 402.836 millones de dólares).,402836000000.0,402836000000.0,1.0,USD,2025,xbrl,,,list_available → get_xbrl_fact,2,7057,490,0.00713025,8.688851600047201,False,False,False,0,False,0,0,0,False,0,,True,True,,True,False,,
gX-004,numerica,META,a6_cifras_texto,1,0,0,"En el ejercicio fiscal 2025, Meta gastó un total de 57.372.000.000 USD en investigación y desarrollo (Research and Development Expense).",57372000000.0,57372000000.0,1.0,USD,2025,xbrl,,,get_xbrl_fact,1,4394,736,0.0060555,13.69026970025152,False,False,False,0,False,0,0,0,False,0,,True,True,,True,False,,
gX-005,numerica,AMZN,a6_cifras_texto,1,0,0,"En el ejercicio fiscal 2025, Amazon generó 139.514.000.000 USD de efectivo a través de sus actividades de explotación (flujo de caja operativo).",139514000000.0,139514000000.0,1.0,USD,2025,xbrl,,,list_available → get_xbrl_fact,2,7191,714,0.00807075,17.750741899944842,False,False,False,0,False,0,0,0,False,0,,True,True,,True,False,,
gX-006,numerica,MSFT,a6_cifras_texto,1,0,0,El pasivo total de Microsoft al cierre del ejercicio fiscal 2024 (a 30 de junio de 2024) ascendía a 243.686.000.000 USD.,243686000000.0,243686000000.0,1.0,USD,2024,xbrl,,,get_xbrl_fact,1,4358,618,0.005586,19.8821965996176,False,False,False,0,False,0,0,0,False,0,,True,True,,True,False,,
gX-007,extractiva,NVDA,a6_cifras_texto,1,0,0,"En su informe 10-K para el ejercicio fiscal 2025, NVIDIA describe el mercado chino (particularmente de soluciones para centros de datos) como altamente competitivo y fuertemente condicionado por los controles de exportación del gobierno estadounidense (USG). La compañía destaca los siguientes aspectos clave:

1. Presión competitiva y alternativas de mercado: Las restricciones y requisitos de licencias de exportación de EE. UU. perjudican la posición competitiva de NVIDIA y benefician a competidores que ofrecen soluciones no restringidas. Esto impulsa a los clientes en China a buscar alternativas frente a los productos de NVIDIA, recurriendo a proveedores locales de semiconductores en China, así como a fabricantes de Europa e Israel, o al desarrollo de soluciones internas propias.
2. Intervención gubernamental local: El gobierno chino puede incentivar a los clientes a adquirir productos de competidores basados en China, además de imponer restricciones a productos de NVIDIA o de sus proveedores (como ocurrió con Micron) o adoptar normativas técnicas que limiten la adopción de sus aceleradores.
3. Desempeño comercial: Aunque NVIDIA aumentó el suministro de productos adaptados específicamente para China que no requieren licencia de exportación y sus ingresos de Data Center en el país crecieron en el ejercicio 2025, estos ingresos representaron un porcentaje del total de Data Center significativamente inferior a los niveles previos al endurecimiento de los controles en octubre de 2023.",,,,,2025,texto,"The licensing requirements may benefit certain of our competitors, as the licensing process will make our pre-sale and post-sale technical support efforts more cumbersome and less certain and encourage customers in China to pursue alternatives to our products, including semiconductor suppliers based in China, Europe, and Israel.",NVDA-2025-1A-0036,search_filings → search_filings → search_filings,3,24876,2855,0.02936325,81.40155740035698,False,False,False,0,False,3,3,3,False,3,True,,True,,True,False,False,15.0
gX-008,extractiva,GOOGL,a6_cifras_texto,1,0,0,"En los factores de riesgo de su informe 10-K para el ejercicio fiscal 2025 (FY2025), Alphabet menciona dos demandas antimonopolio principales interpuestas por el Departamento de Justicia de EE. UU. (DOJ) junto con varios fiscales generales estatales:

1. Prácticas de Google Search y publicidad en búsquedas: demanda en el Tribunal de Distrito del Distrito de Columbia, en la cual el tribunal falló contra Google en agosto de 2024 y emitió en diciembre de 2025 una sentencia definitiva que impuso remedios (incluyendo restricciones a la distribución y la obligación de compartir datos de búsqueda), la cual fue apelada en enero y febrero de 2026.
2. Tecnología publicitaria (ad tech): demanda presentada en enero de 2023 en el Distrito Este de Virginia, en la cual el tribunal emitió en abril de 2025 un fallo mixto (determinando que sus herramientas para editores excluían indebidamente a rivales), donde el DOJ ha propuesto remedios estructurales y se aguarda la sentencia definitiva.",,,,,2025,texto,"The US Department of Justice (DOJ), various states, and other plaintiffs have filed, and may continue to file in the future, several antitrust lawsuits about aspects of our business, including our advertising technologies and practices, the operation and distribution of Google Search, and the operation and distribution of Android operating system and Play Store.",GOOGL-2025-1A-0025,list_available → search_filings,2,9817,2167,0.015489,47.03104990022257,False,False,False,0,False,1,1,1,False,1,True,,True,,True,False,True,3.0
gX-009,extractiva,META,a6_cifras_texto,1,0,0,"En su informe 10-K para FY2025, Meta señala que la Ley de Mercados Digitales (DMA) de la Unión Europea impone restricciones y requisitos a empresas designadas como guardianes de acceso (gatekeepers) en áreas tales como la combinación de datos entre servicios, las fusiones y adquisiciones y el diseño de productos. Asimismo, destaca que estas normas afectan su modelo de consentimiento y publicidad (como su alternativa de suscripción sin anuncios y la opción de anuncios menos personalizados), obligándola a incurrir en costes significativos de cumplimiento y a modificar sus prácticas comerciales y de productos.",,,,,2025,texto,"For example, the DMA in the European Union imposes restrictions and requirements on companies like ours, including in areas such as the combination of data across services, mergers and acquisitions, and product design.",META-2025-1A-0060,list_available → search_filings → search_filings → search_filings → search_filings,5,30824,2186,0.0313155,69.89398330030963,False,False,False,0,False,4,4,4,False,2,True,,True,,True,False,True,1.0
gX-010,extractiva,AAPL,a6_cifras_texto,1,0,0,"En el Item 1A de su informe 10-K para el ejercicio fiscal 2025, Apple declara que muchas de sus operaciones, tiendas minoristas e instalaciones, así como operaciones críticas de sus proveedores y fabricantes contratados, se encuentran en ubicaciones propensas a terremotos y otros desastres naturales. Asimismo, destaca que el cambio climático global provoca que ciertos desastres naturales y eventos climáticos extremos ocurran con mayor frecuencia o intensidad, lo cual puede dificultar o imposibilitar la fabricación y entrega de productos, generar retrasos e ineficiencias en la cadena de suministro y elevar los costes de la compañía.",,,,,2025,texto,"Many of the Company’s operations, retail stores and facilities, as well as critical business operations of the Company’s suppliers and contract manufacturers, are in locations that are prone to earthquakes and other natural disasters.",AAPL-2025-1A-0003,list_available → search_filings,2,9275,1012,0.01075125,14.213569200132042,False,False,False,0,False,1,1,1,False,1,True,,True,,True,False,True,5.0
