id,familia,ticker,arquitectura,rep,reintentos_vacios,reintentos_proveedor,respuesta,cifra_dada,cifra_esperada,ratio_cifra,unidad,ejercicio,fuente,cita_dada,chunk_id,herramientas,n_llamadas,tokens_in,tokens_out,coste_usd,latencia_s,sin_respuesta,corrigio_cifra,corrigio_cita,reintentos_esquema,limite_alcanzado,n_busquedas,busquedas_con_ticker,busquedas_con_item,uso_read_section,busquedas_reescritas,cita,cifra,trayectoria,honestidad,acierto,obsoleta,recall5,pos_ancla
gX-001,numerica,NVDA,a4_comparativas,3,0,0,Los ingresos de NVIDIA en el ejercicio fiscal 2025 fueron de 130.497.000.000 USD (aproximadamente 130.497 millones de dólares).,130497000000.0,130497000000.0,1.0,USD,2025,xbrl,,,get_xbrl_fact,1,3618,403,0.00422475,47.32869629980996,False,False,False,0,False,0,0,0,False,0,,True,True,,True,False,,
gX-002,numerica,AAPL,a4_comparativas,3,0,0,El beneficio neto (NetIncomeLoss) de Apple en el ejercicio fiscal 2025 fue de 112.010.000.000 USD.,112010000000.0,112010000000.0,1.0,USD,2025,xbrl,,,list_available → get_xbrl_fact,2,5970,544,0.0065175,10.610169699881226,False,False,False,0,False,0,0,0,False,0,,True,True,,True,False,,
gX-003,numerica,GOOGL,a4_comparativas,3,0,0,Los ingresos totales de Alphabet (GOOGL) en el ejercicio fiscal 2025 fueron de 402.836.000.000 USD.,402836000000.0,402836000000.0,1.0,USD,2025,xbrl,,,list_available → get_xbrl_fact,2,6002,678,0.007044,16.440072699915618,False,False,False,0,False,0,0,0,False,0,,True,True,,True,False,,
gX-004,numerica,META,a4_comparativas,3,0,0,"En el ejercicio fiscal 2025, Meta gastó 57.372.000.000 USD en investigación y desarrollo (Research and Development).",57372000000.0,57372000000.0,1.0,USD,2025,xbrl,,,list_available → get_xbrl_fact,2,5981,523,0.006447,21.99882709980011,False,False,False,0,False,0,0,0,False,0,,True,True,,True,False,,
gX-005,numerica,AMZN,a4_comparativas,3,0,0,"En el ejercicio fiscal 2025, Amazon generó 139.514.000.000 USD en efectivo procedente de sus actividades de explotación (Net Cash Provided by Operating Activities).",139514000000.0,139514000000.0,1.0,USD,2025,xbrl,,,list_available → get_xbrl_fact,2,6018,882,0.007821,11.858810399658978,False,False,False,0,False,0,0,0,False,0,,True,True,,True,False,,
gX-006,numerica,MSFT,a4_comparativas,3,0,0,"Al cierre del ejercicio fiscal 2024 (30 de junio de 2024), el pasivo total (Liabilities) de Microsoft ascendía a 243.686.000.000 USD (243.686 millones de dólares).",243686000000.0,243686000000.0,1.0,USD,2024,xbrl,,,get_xbrl_fact,1,3678,521,0.00471225,7.03009740030393,False,False,False,0,False,0,0,0,False,0,,True,True,,True,False,,
gX-007,extractiva,NVDA,a4_comparativas,3,0,0,"En su informe 10-K para el ejercicio fiscal 2025, NVIDIA describe el mercado chino como un entorno altamente competitivo en el que su oferta se encuentra limitada por los controles de exportación del gobierno estadounidense, esperando que siga siendo competitivo en el futuro. 

NVIDIA destaca los siguientes aspectos clave sobre la situación competitiva en China:
1. Deterioro de su posición competitiva: Los controles de exportación impuestos por EE. UU. han perjudicado su posición competitiva, y advierte de que nuevas restricciones podrían dañarla aún más a largo plazo.
2. Impulso a competidores y alternativas locales: Las restricciones y la complejidad del proceso de licencias benefician a competidores que ofrecen alternativas no restringidas e incentivan a los clientes chinos a buscar alternativas con proveedores de semiconductores basados en China, Europa e Israel, o a desarrollar soluciones propias internas.
3. Presión regulatoria y gubernamental en China: La compañía señala el riesgo de que el gobierno chino anime activamente a los clientes a comprar a competidores locales con sede en China o imponga restricciones a la venta de productos de NVIDIA.
4. Participación en ingresos: Aunque sus ingresos de Data Center en China crecieron en FY2025 gracias a productos específicamente diseñados que no requieren licencia de exportación, su peso relativo como porcentaje de los ingresos totales de Data Center permanece muy por debajo de los niveles previos a los controles introducidos en octubre de 2023.",,,,,2025,texto,"The market in China, where our offerings are limited by export controls, is highly competitive and we expect it to remain competitive going forward.",NVDA-2025-1A-0013,search_filings → search_filings → search_filings → list_available → search_filings → search_filings → search_filings,7,31395,2926,0.03451875,143.30755210015923,False,False,False,0,False,6,6,6,False,6,True,,True,,True,False,False,15.0
gX-008,extractiva,GOOGL,a4_comparativas,3,0,0,"En sus factores de riesgo (Item 1A) del informe 10-K de FY2025, Alphabet detalla dos demandas antimonopolio interpuestas por el Departamento de Justicia (DOJ) junto con fiscales generales estatales:

1. Demanda sobre Búsqueda y Publicidad de Búsqueda (Search): En el Tribunal de Distrito de Columbia, donde en agosto de 2024 el tribunal falló contra Google y en diciembre de 2025 dictó sentencia final imponiendo remedios (incluyendo restricciones sobre cómo distribuyen sus servicios y la obligación de compartir datos de búsqueda con competidores), sentencia que ambas partes han apelado a principios de 2026.
2. Demanda sobre Tecnología Publicitaria (AdTech): Presentada en enero de 2023 en el Distrito Este de Virginia, en la cual el juez emitió una sentencia mixta en abril de 2025 determinando que sus herramientas para editores (publisher tools) excluían injustamente a competidores; el DOJ ha propuesto remedios estructurales y se encuentra pendiente la sentencia definitiva sobre los remedios.",,,,,2025,texto,the DOJ and a number of state Attorneys General filed a lawsuit concerning our Search and Search advertising practices and our compliance with US antitrust laws.,GOOGL-2025-1A-0026,list_available → search_filings → search_filings,3,11170,1834,0.015255,29.903317300137132,False,False,False,0,False,2,2,2,False,2,True,,True,,True,False,True,3.0
gX-009,extractiva,META,a4_comparativas,3,0,0,"En su informe anual 10-K para el ejercicio 2025, Meta indica que la Ley de Mercados Digitales (DMA) de la Unión Europea impone restricciones y requisitos específicos en áreas como la combinación de datos entre servicios, las fusiones y adquisiciones, y el diseño de productos. Asimismo, expone que la normativa afecta directamente a sus prácticas comerciales y de consentimiento publicitario, habiendo determinado la Comisión Europea en abril de 2025 que su modelo de «suscripción sin anuncios» no cumplía con los requisitos de la DMA, lo que obligó a la compañía a implementar modificaciones sustanciales en su oferta de anuncios menos personalizados (LPA).",,,,,2025,texto,"For example, the DMA in the European Union imposes restrictions and requirements on companies like ours, including in areas such as the combination of data across services, mergers and acquisitions, and product design.",META-2025-1A-0060,list_available → search_filings → search_filings → search_filings,4,26542,1889,0.02699025,105.33537240000442,False,False,False,0,False,3,3,3,False,2,True,,True,,True,False,True,1.0
gX-010,extractiva,AAPL,a4_comparativas,3,0,0,"En su informe 10-K para el ejercicio fiscal 2025, Apple señala que muchas de sus operaciones, tiendas minoristas e instalaciones, así como operaciones comerciales críticas de sus proveedores y fabricantes contratados, se encuentran en ubicaciones propensas a terremotos y otros desastres naturales. Asimismo, indica que el cambio climático global está provocando que ciertos tipos de desastres naturales y fenómenos meteorológicos extremos ocurran con mayor frecuencia o con efectos más intensos, lo que puede dificultar o imposibilitar la fabricación y entrega de productos, generar retrasos e ineficiencias en la cadena de suministro, interrumpir servicios e incrementar los costes.",,,,,2025,texto,"Many of the Company’s operations, retail stores and facilities, as well as critical business operations of the Company’s suppliers and contract manufacturers, are in locations that are prone to earthquakes and other natural disasters.",AAPL-2025-1A-0003,list_available → search_filings,2,8174,1035,0.01001175,47.29421509988606,False,False,False,0,False,1,1,1,False,1,True,,True,,True,False,True,5.0
gX-011,extractiva,META,a4_comparativas,3,0,0,"Según la sección MD&A de su informe anual de 2025, Meta anticipa realizar inversiones en capital (capital expenditures) de aproximadamente entre 115.000 millones y 135.000 millones de dólares en 2026 para apoyar sus iniciativas de inteligencia artificial y su negocio principal.",,,,,2025,texto,We anticipate making capital expenditures of approximately $115 billion to $135 billion in 2026 to support our AI efforts and core business.,META-2025-7-0031,list_available → search_filings → search_filings → get_xbrl_fact,4,16314,1993,0.01970925,51.625405699945986,False,False,False,0,False,2,2,2,False,1,True,,True,,True,False,True,2.0
gX-012,extractiva,NVDA,a4_comparativas,3,0,0,"Al cierre del ejercicio fiscal 2025, NVIDIA realizó un análisis de sensibilidad sobre su cartera de inversión expuesta a riesgo de tipos de interés. De acuerdo con dicho análisis, desplazamientos paralelos en la curva de tipos de interés (yield curve) de más o menos 0,5% darían lugar a un cambio en el valor razonable de estas inversiones de 238 millones de dólares.",,,,,2025,texto,"According to our analysis, parallel shifts in the yield curve of plus or minus 0.5% would result in a change in fair value for these investments of $238 million.",NVDA-2025-7A-0000,search_filings → search_filings → get_xbrl_fact,3,10411,1313,0.012732,77.01401799963787,False,False,False,0,False,2,2,2,False,2,True,,True,,True,False,True,1.0
gX-013,comparativa,MSFT,a4_comparativas,3,0,0,"Los ingresos de Microsoft (reportados como RevenueFromContractWithCustomerExcludingAssessedTax) aumentaron en 36.602.000.000 USD (+14,93%), pasando de 245.122.000.000 USD en el ejercicio fiscal 2024 a 281.724.000.000 USD en el ejercicio fiscal 2025. La compañía explica que el crecimiento se produjo en todos sus segmentos: Intelligent Cloud impulsado por Azure, Productivity and Business Processes impulsado por la nube comercial de Microsoft 365, y More Personal Computing impulsado por Gaming y publicidad en búsquedas y noticias.",281724000000.0,281724000000.0,1.0,USD,2025,ambas,Revenue increased $36.6 billion or 15% with growth across each of our segments.,MSFT-2025-7-0007,list_available → get_xbrl_fact → get_xbrl_fact → get_xbrl_fact → get_xbrl_fact → search_filings,6,14406,1744,0.0173445,84.25327760027722,False,False,False,0,False,1,1,1,False,1,True,True,True,,True,False,True,1.0
gX-014,comparativa,NVDA,a4_comparativas,3,0,0,"El beneficio neto de NVIDIA aumentó en 43.120.000.000 USD (un aumento del 144,89%), pasando de 29.760.000.000 USD en FY2024 a 72.880.000.000 USD en FY2025. Este crecimiento estuvo impulsado principalmente por el fuerte incremento de la demanda en el segmento de Data Center y sus plataformas de computación acelerada de arquitectura Hopper.",72880000000.0,72880000000.0,1.0,USD,2025,ambas,Data Center revenue for fiscal year 2025 was up 142% from a year ago.,NVDA-2025-7-0007,get_xbrl_fact → get_xbrl_fact → search_filings,3,14102,2243,0.01898775,39.36214250000194,False,False,True,0,False,1,1,1,False,1,True,True,True,,True,False,True,2.0
gX-015,comparativa,GOOGL,a4_comparativas,3,0,0,"Los ingresos de Alphabet aumentaron un 15,09% entre FY2024 y FY2025, pasando de 350.018.000.000 USD a 402.836.000.000 USD, lo que representa un incremento absoluto de 52.818.000.000 USD. En el análisis de gestión (Item 7), la dirección señala el incremento de ingresos como el motor principal del crecimiento operativo en sus segmentos principales (Google Services y Google Cloud).",402836000000.0,402836000000.0,1.0,USD,2025,ambas,"The increase in operating income was primarily driven by an increase in revenues, partially offset by an increase in expenses related to legal and other matters, TAC, and content acquisition costs.",GOOGL-2025-7-0016,list_available → get_xbrl_fact → get_xbrl_fact → search_filings → search_filings → search_filings → search_filings → search_filings → search_filings,9,29917,3371,0.035079,179.0537169999443,False,False,False,0,True,6,6,6,False,5,True,True,True,,True,False,True,2.0
gX-016,comparativa,META,a4_comparativas,3,0,0,"El beneficio neto de Meta bajó en 1.902.000.000 USD (una caída del 3,05%), pasando de 62.360.000.000 USD en FY2024 a 60.458.000.000 USD en FY2025, a pesar de que el resultado de explotación aumentó un 20,03% (de 69.380.000.000 USD a 83.276.000.000 USD). La razón de este descenso fue el fuerte incremento en el gasto por impuesto sobre la renta (que creció un 207%, elevando la tasa impositiva efectiva del 12% al 30%), derivado principalmente de la promulgación de la ley fiscal estadounidense One Big Beautiful Bill Act (OBBBA), por la cual la compañía registró un cargo de 15.930 millones de dólares (incluyendo 14.030 millones de corrección valorativa de activos por impuestos diferidos vinculada al Corporate Alternative Minimum Tax, CAMT).",60458000000.0,60458000000.0,1.0,USD,2025,ambas,"Our provision for income taxes in 2025 increased $17.17 billion or 207% compared to 2024, primarily due to an increase in the effective tax rate.",META-2025-7-0028,list_available → get_xbrl_fact → get_xbrl_fact → get_xbrl_fact → get_xbrl_fact → search_filings,6,10999,1883,0.0153105,18.378418900072575,False,False,False,0,False,1,1,1,False,0,True,True,True,,True,False,False,24.0
gX-017,comparativa,AAPL,a4_comparativas,3,0,0,"Las ventas netas de Apple aumentaron de 391.035.000.000 USD en FY2024 a 416.161.000.000 USD en FY2025, lo que representa un incremento de 25.126.000.000 USD (+6,43%). Este crecimiento fue impulsado principalmente por el aumento en las ventas de Servicios (publicidad, App Store y servicios en la nube), Mac e iPhone (mayores ventas de modelos Pro), compensado parcialmente por menores ventas en Wearables, Home and Accessories.",416161000000.0,416161000000.0,1.0,USD,2025,ambas,"Services net sales increased during 2025 compared to 2024 primarily due to higher net sales from advertising, the App Store and cloud services.",AAPL-2025-7-0003,list_available → get_xbrl_fact → get_xbrl_fact → search_filings,4,17919,2343,0.0222255,40.535868500359356,False,False,True,0,False,1,1,1,False,1,True,True,True,,True,False,True,1.0
gX-018,comparativa,AMZN,a4_comparativas,3,0,0,"El flujo de caja de las actividades de explotación de Amazon creció en 23.637.000.000 USD (+20,40%) entre FY2024 y FY2025, pasando de 115.877.000.000 USD en FY2024 a 139.514.000.000 USD en FY2025. Según explica la dirección en el Item 7 (MD&A), este incremento se debió a un aumento en el resultado neto (excluyendo partidas no monetarias) y a cambios en el capital circulante.",139514000000.0,139514000000.0,1.0,USD,2025,ambas,"The increase in operating cash flow in 2025, compared to the prior year, was due to an increase in net income (loss), excluding non-cash expenses, and changes in working capital.",AMZN-2025-7-0007,list_available → get_xbrl_fact → get_xbrl_fact → search_filings,4,13491,1554,0.01594575,26.900183099998685,False,False,False,0,False,1,1,1,False,1,True,True,True,,True,False,True,2.0
gX-019,comparativa,NVDA,a4_comparativas,3,0,0,"No, no significa que NVIDIA haya ganado menos por acción. En junio de 2024 la compañía ejecutó un desdoblamiento de acciones (stock split) de 10 por 1. La cifra reportada en el 10-K original de FY2024 de 11,93 USD por acción no estaba ajustada por dicho split; al ajustarla dividiendo entre 10 para hacerla comparable, el BPA diluido de FY2024 resulta en 1,193 USD. Por tanto, el BPA diluido comparable en realidad aumentó de 1,193 USD en FY2024 a 2,94 USD en FY2025 (+1,747 USD por acción o un crecimiento del +146,4%).",2.94,2.94,1.0,USD/shares,2025,ambas,"In June 2024, we executed a ten-for-one stock split of our common stock. All share, equity award, and per share amounts and related shareholders' equity balances presented herein have been retroactively adjusted to reflect the Stock Split.",NVDA-2025-8-0015,list_available → get_xbrl_fact → get_xbrl_fact → search_filings,4,14290,2158,0.01881,24.443573100026697,False,False,False,0,False,1,1,1,False,0,True,True,True,,True,False,True,1.0
