id,familia,ticker,arquitectura,rep,reintentos_vacios,reintentos_proveedor,respuesta,cifra_dada,cifra_esperada,ratio_cifra,unidad,ejercicio,fuente,cita_dada,chunk_id,herramientas,n_llamadas,tokens_in,tokens_out,coste_usd,latencia_s,sin_respuesta,corrigio_cifra,corrigio_cita,reintentos_esquema,limite_alcanzado,n_busquedas,busquedas_con_ticker,busquedas_con_item,uso_read_section,busquedas_reescritas,cita,cifra,trayectoria,honestidad,acierto,obsoleta,recall5,pos_ancla
gX-001,numerica,NVDA,a3_hibrido,1,0,0,Los ingresos de NVIDIA en el ejercicio fiscal 2025 ascendieron a 130.497.000.000 USD (aproximadamente 130.497 millones de dólares).,130497000000.0,130497000000.0,1.0,USD,2025,xbrl,,,get_xbrl_fact,1,3032,734,0.0050265,14.280058799999097,False,False,False,0,False,0,0,0,False,0,,True,True,,True,False,,
gX-002,numerica,AAPL,a3_hibrido,1,0,0,El beneficio neto (Net Income) de Apple en el ejercicio fiscal 2025 fue de 112.010.000.000 USD (112.010 millones de dólares).,112010000000.0,112010000000.0,1.0,USD,2025,xbrl,,,list_available → get_xbrl_fact,2,4963,530,0.00570975,7.996919000001071,False,False,False,0,False,0,0,0,False,0,,True,True,,True,False,,
gX-003,numerica,GOOGL,a3_hibrido,1,0,0,Los ingresos totales de Alphabet Inc. en el ejercicio fiscal 2025 fueron de 402.836.000.000 USD (aproximadamente 402.836 millones de dólares).,402836000000.0,402836000000.0,1.0,USD,2025,xbrl,,,list_available → get_xbrl_fact,2,4954,455,0.00542175,11.098086000001786,False,False,False,0,False,0,0,0,False,0,,True,True,,True,False,,
gX-004,numerica,META,a3_hibrido,1,0,0,"En el ejercicio fiscal 2025, Meta gastó 57.372.000.000 USD en investigación y desarrollo (Research and Development).",57372000000.0,57372000000.0,1.0,USD,2025,xbrl,,,list_available → get_xbrl_fact,2,4998,830,0.006861,10.126614799999516,False,False,False,0,False,0,0,0,False,0,,True,True,,True,False,,
gX-005,numerica,AMZN,a3_hibrido,1,0,0,"En el ejercicio fiscal 2025, Amazon generó 139.514.000.000 USD a través de sus actividades de explotación (Net Cash Provided by Operating Activities).",139514000000.0,139514000000.0,1.0,USD,2025,xbrl,,,list_available → get_xbrl_fact,2,5063,724,0.00651225,11.417707000000519,False,False,False,0,False,0,0,0,False,0,,True,True,,True,False,,
gX-006,numerica,MSFT,a3_hibrido,1,0,0,"Al cierre del ejercicio fiscal 2024 (30 de junio de 2024), el pasivo total de Microsoft ascendía a 243.686.000.000 USD.",243686000000.0,243686000000.0,1.0,USD,2024,xbrl,,,list_available → get_xbrl_fact,2,4963,669,0.006231,8.7807928000002,False,False,False,0,False,0,0,0,False,0,,True,True,,True,False,,
gX-007,extractiva,NVDA,a3_hibrido,1,0,0,"En su informe 10-K de FY2025, NVIDIA señala que el mercado de soluciones para centros de datos en China sigue siendo altamente competitivo y que su posición competitiva se ha visto perjudicada por los controles de exportación del gobierno estadounidense. La compañía explica que estos requisitos de licencias benefician a sus competidores al hacer que el soporte técnico preventa y posventa sea más complejo e incierto, incentivando a los clientes en China a buscar alternativas en proveedores de semiconductores locales (basados en China) o de Europa e Israel, así como a desarrollar soluciones internas propias. Asimismo, advierte que el gobierno chino puede fomentar que los clientes compren a competidores chinos e imponer restricciones adicionales, mientras los reguladores chinos investigan si el cumplimiento de los controles estadounidenses discrimina injustamente a los clientes locales. Aunque NVIDIA lanzó productos diseñados específicamente para China que no requieren licencia (haciendo crecer los ingresos de Data Center en el país en FY2025), su peso sobre los ingresos totales de Data Center permanece muy por debajo de los niveles previos a octubre de 2023.",,,,,2025,texto,"The licensing requirements may benefit certain of our competitors, as the licensing process will make our pre-sale and post-sale technical support efforts more cumbersome and less certain and encourage customers in China to pursue alternatives to our products, including semiconductor suppliers based in China, Europe, and Israel.",NVDA-2025-1A-0036,list_available → search_filings → search_filings → search_filings,4,25048,2428,0.027891,51.24648940000043,False,False,False,0,False,3,3,2,False,3,True,,True,,True,False,False,15.0
gX-008,extractiva,GOOGL,a3_hibrido,1,0,0,"En sus factores de riesgo de FY2025, Alphabet detalla dos demandas antimonopolio principales iniciadas por el Departamento de Justicia (DOJ) de EE. UU. junto con fiscales generales estatales:

1. Demanda sobre búsqueda y publicidad en búsquedas (Search and Search advertising) en el Tribunal de Distrito de Columbia, donde en agosto de 2024 el tribunal falló contra Google y en diciembre de 2025 emitió una sentencia final que impone restricciones a la distribución de sus servicios y exige compartir ciertos datos de búsqueda con competidores (fallo apelado a principios de 2026).
2. Demanda sobre tecnología publicitaria (ad tech) presentada en enero de 2023 en el Distrito Este de Virginia, en la cual el tribunal emitió un fallo mixto en abril de 2025 determinando que las herramientas para editores (publisher tools) excluían indebidamente a competidores; el DOJ solicitó medidas correctivas estructurales y Alphabet espera la sentencia final de remedios.",,,,,2025,texto,"In January 2023, the DOJ and a number of state Attorneys General sued in the Eastern District of Virginia alleging similar antitrust violations relating to our advertising technology.",GOOGL-2025-1A-0026,list_available → search_filings,2,7705,1783,0.012465,14.898762400000123,False,False,False,0,False,1,1,1,False,1,True,,True,,True,False,True,3.0
gX-009,extractiva,META,a3_hibrido,1,0,0,"En su informe 10-K de FY2025, Meta señala que la Ley de Mercados Digitales (DMA) de la Unión Europea le impone restricciones y obligaciones concretas en áreas clave como la combinación de datos entre diferentes servicios, fusiones y adquisiciones (M&A) y el diseño de productos. Asimismo, Meta menciona que los requisitos de la DMA afectan a su modelo de consentimiento y publicidad (llevando a investigaciones sobre su modelo de «suscripción sin anuncios» y a la introducción de anuncios menos personalizados), lo que le obliga a incurrir en costes de cumplimiento y a realizar modificaciones en sus productos y prácticas comerciales.",,,,,2025,texto,"For example, the DMA in the European Union imposes restrictions and requirements on companies like ours, including in areas such as the combination of data across services, mergers and acquisitions, and product design.",META-2025-1A-0060,list_available → search_filings → search_filings → search_filings,4,18717,1654,0.02024025,46.47522720000052,False,False,False,0,False,3,3,3,False,2,True,,True,,True,False,True,1.0
gX-010,extractiva,AAPL,a3_hibrido,1,0,0,"En su informe 10-K para el ejercicio fiscal 2025, Apple declara que muchas de sus operaciones, tiendas y dependencias, así como operaciones críticas de negocio de sus proveedores y fabricantes contratados, se encuentran en ubicaciones propensas a terremotos y otros desastres naturales. Asimismo, señala que el cambio climático global está provocando que ciertos tipos de desastres naturales y fenómenos meteorológicos extremos ocurran con mayor frecuencia o intensidad, lo que puede dificultar o imposibilitar la fabricación y entrega de productos, causar retrasos e ineficiencias en la cadena de suministro, interrumpir sus servicios, incrementar costes y reducir la demanda de los consumidores.",,,,,2025,texto,"Many of the Company’s operations, retail stores and facilities, as well as critical business operations of the Company’s suppliers and contract manufacturers, are in locations that are prone to earthquakes and other natural disasters.",AAPL-2025-1A-0003,list_available → search_filings,2,7154,1065,0.00935925,12.311247400000866,False,False,False,0,False,1,1,1,False,1,True,,True,,True,False,True,5.0
gX-011,extractiva,META,a3_hibrido,1,0,0,"Según el MD&A de su informe anual FY2025, Meta anticipa realizar inversiones en capital (capital expenditures) de aproximadamente entre 115.000 y 135.000 millones de dólares en 2026 para respaldar sus iniciativas de inteligencia artificial y su negocio principal.",,,,,2025,texto,We anticipate making capital expenditures of approximately $115 billion to $135 billion in 2026 to support our AI efforts and core business.,META-2025-7-0031,list_available → search_filings → search_filings → search_filings,4,12176,2172,0.017277,35.79533520000041,False,False,False,0,False,3,3,3,False,2,True,,True,,True,False,True,2.0
gX-012,extractiva,NVDA,a3_hibrido,1,0,0,"Al cierre del ejercicio fiscal 2025, NVIDIA realizó un análisis de sensibilidad sobre su cartera de inversiones a tipo fijo evaluando desplazamientos paralelos en la curva de tipos de interés de más o menos 0,5% (+/- 50 puntos básicos), estimando que dicho movimiento resultaría en un cambio en el valor razonable de estas inversiones de 238 millones de dólares.",,,,,2025,texto,"According to our analysis, parallel shifts in the yield curve of plus or minus 0.5% would result in a change in fair value for these investments of $238 million.",NVDA-2025-7A-0000,search_filings → read_section → search_filings,3,8642,1061,0.01046025,32.93671800000084,False,False,False,0,False,2,2,2,True,2,True,,True,,True,False,True,1.0
gX-013,comparativa,MSFT,a3_hibrido,1,0,0,"Los ingresos de Microsoft (reportados bajo RevenueFromContractWithCustomerExcludingAssessedTax) pasaron de 245.122.000.000 USD en FY2024 a 281.724.000.000 USD en FY2025, lo que representa un crecimiento de 36.602.000.000 USD, equivalente a un aumento del 14,93%.",281724000000.0,281724000000.0,1.0,USD,2025,xbrl,,,list_available → get_xbrl_fact → get_xbrl_fact → get_xbrl_fact → get_xbrl_fact,5,7525,1247,0.01032,12.973701200000505,False,False,False,0,False,0,0,0,False,0,False,True,False,,False,False,True,1.0
gX-014,comparativa,NVDA,a3_hibrido,1,0,0,"El beneficio neto (NetIncomeLoss) de NVIDIA aumentó en 43.120.000.000 USD (un incremento del 144,89%) entre FY2024 y FY2025, pasando de 29.760.000.000 USD en el ejercicio 2024 a 72.880.000.000 USD en el ejercicio 2025.",72880000000.0,72880000000.0,1.0,USD,2025,xbrl,,,list_available → get_xbrl_fact → get_xbrl_fact,3,5079,1208,0.00833925,15.003504399999656,False,False,False,0,False,0,0,0,False,0,False,True,False,,False,False,True,2.0
gX-015,comparativa,GOOGL,a3_hibrido,1,0,0,"Los ingresos de Alphabet (GOOGL) crecieron en 52.818.000.000 USD entre FY2024 y FY2025 (un aumento del 15,09%), pasando de 350.018.000.000 USD en FY2024 a 402.836.000.000 USD en FY2025.",402836000000.0,402836000000.0,1.0,USD,2025,xbrl,,,list_available → get_xbrl_fact → get_xbrl_fact,3,6939,1007,0.0089805,13.16613530000177,False,False,False,0,False,0,0,0,False,0,False,True,False,,False,False,True,2.0
gX-016,comparativa,META,a3_hibrido,1,0,0,"El beneficio neto de Meta disminuyó en 1.902.000.000 USD (un descenso de aproximadamente el 3,05%), situándose en 60.458.000.000 USD en FY2025 frente a los 62.360.000.000 USD de FY2024, a pesar de que el resultado de explotación aumentó de 69.380.000.000 USD a 83.276.000.000 USD.

La caída se debió a un fuerte aumento en la provisión para impuestos sobre la renta (que subió un 207%, de 8.303 millones a 25.474 millones de dólares, elevando la tasa impositiva efectiva del 12% al 30%). Este incremento estuvo motivado por la promulgación de la ley fiscal estadounidense ""One Big Beautiful Bill Act"" (OBBBA) en julio de 2025, que obligó a Meta a registrar en el tercer trimestre de 2025 un cargo de 15.930 millones de dólares, del cual 14.030 millones correspondieron a una provisión de valoración contra sus activos por impuestos diferidos relacionada con el Corporate Alternative Minimum Tax (CAMT).",60458000000.0,60458000000.0,1.0,USD,2025,ambas,"Our provision for income taxes in 2025 increased $17.17 billion or 207% compared to 2024, primarily due to an increase in the effective tax rate.",META-2025-7-0028,list_available → get_xbrl_fact → get_xbrl_fact → get_xbrl_fact → get_xbrl_fact → search_filings → search_filings,7,11676,2240,0.017157,34.72971899999902,False,False,False,0,False,2,2,2,False,1,True,True,True,,True,False,False,24.0
gX-017,comparativa,AAPL,a3_hibrido,1,0,0,"Las ventas netas de Apple crecieron 25.126.000.000 USD (un 6,43 %) entre FY2024 y FY2025, pasando de 391.035.000.000 USD en FY2024 a 416.161.000.000 USD en FY2025.",416161000000.0,416161000000.0,1.0,USD,2025,xbrl,,,list_available → get_xbrl_fact → get_xbrl_fact → get_xbrl_fact,4,9126,1511,0.01251075,16.09932800000024,False,False,False,0,False,0,0,0,False,0,False,True,False,,False,False,True,1.0
