id,familia,ticker,arquitectura,rep,reintentos_proveedor,respuesta,cifra_dada,cifra_esperada,ratio_cifra,unidad,ejercicio,fuente,cita_dada,chunk_id,herramientas,n_llamadas,tokens_in,tokens_out,coste_usd,latencia_s,sin_respuesta,corrigio_cifra,corrigio_cita,reintentos_esquema,limite_alcanzado,n_busquedas,busquedas_con_ticker,busquedas_con_item,uso_read_section,busquedas_reescritas,cita,cifra,trayectoria,honestidad,acierto,recall5,pos_ancla
gX-001,numerica,NVDA,a2_retrieval,2,0,Los ingresos de NVIDIA en el ejercicio fiscal 2025 ascendieron a 130.497.000.000 USD (130.497 millones de dólares).,130497000000.0,130497000000.0,1.0,USD,2025,xbrl,,,get_xbrl_fact → get_xbrl_fact,2,3105,530,0.00431625,6.196365499868989,False,False,False,0,False,0,0,0,False,0,,True,True,,True,,
gX-002,numerica,AAPL,a2_retrieval,2,0,El beneficio neto (Net Income) de Apple en el ejercicio fiscal 2025 fue de 112.010.000.000 USD.,112010000000.0,112010000000.0,1.0,USD,2025,xbrl,,,list_available → get_xbrl_fact,2,5014,471,0.00552675,8.72530629998073,False,False,False,0,False,0,0,0,False,0,,True,True,,True,,
gX-003,numerica,GOOGL,a2_retrieval,2,0,Los ingresos totales de Alphabet en el ejercicio fiscal 2025 fueron de 402.836.000.000 USD (aproximadamente 402.836 millones de dólares).,402836000000.0,402836000000.0,1.0,USD,2025,xbrl,,,list_available → get_xbrl_fact,2,4957,344,0.00500775,6.170891699846834,False,False,False,0,False,0,0,0,False,0,,True,True,,True,,
gX-004,numerica,META,a2_retrieval,2,0,"En el ejercicio fiscal 2025, Meta gastó 57.372.000.000 USD en investigación y desarrollo (Research and Development).",57372000000.0,57372000000.0,1.0,USD,2025,xbrl,,,list_available → get_xbrl_fact,2,5033,672,0.00629475,21.749191199894994,False,False,False,0,False,0,0,0,False,0,,True,True,,True,,
gX-005,numerica,AMZN,a2_retrieval,2,0,"En el ejercicio fiscal 2025, Amazon generó 139.514.000.000 USD de efectivo procedente de sus actividades de explotación (Net Cash Provided by Used in Operating Activities).",139514000000.0,139514000000.0,1.0,USD,2025,xbrl,,,list_available → get_xbrl_fact,2,5037,778,0.00669525,9.946556100156158,False,False,False,0,False,0,0,0,False,0,,True,True,,True,,
gX-006,numerica,MSFT,a2_retrieval,2,0,"Al cierre del ejercicio fiscal 2024 (30 de junio de 2024), el pasivo total de Microsoft ascendía a 243.686.000.000 USD.",243686000000.0,243686000000.0,1.0,USD,2024,xbrl,,,list_available → get_xbrl_fact,2,5050,669,0.00629625,10.636464999988675,False,False,False,0,False,0,0,0,False,0,,True,True,,True,,
gX-007,extractiva,NVDA,a2_retrieval,2,0,"En su informe 10-K de FY2025, NVIDIA describe el mercado chino como altamente competitivo y prevé que continuará siéndolo. La compañía destaca varios factores clave que definen esta situación competitiva:

1. Impacto de los controles de exportación: Las restricciones impuestas por el gobierno de EE. UU. limitan severamente su catálogo de productos avanzados (como chips para IA y centros de datos) y han perjudicado su posición competitiva a largo plazo, colocando a NVIDIA en desventaja frente a competidores extranjeros o locales cuyas soluciones no están sujetas a dichas restricciones.
2. Incentivo a competidores locales: Señala que los controles comerciales benefician a alternativas competidoras e incrementan la inversión en competidores extranjeros, además de que el gobierno chino puede alentar a los clientes a comprar a fabricantes locales con sede en China.
3. Posición en Centros de Datos: Aunque NVIDIA introdujo productos diseñados específicamente para China que no requieren licencia de exportación y sus ingresos de Data Center en China crecieron en el ejercicio fiscal 2025, como porcentaje de los ingresos totales de Data Center se mantienen muy por debajo de los niveles observados antes de las restricciones de octubre de 2023.",,,,,2025,texto,"The market in China, where our offerings are limited by export controls, is highly competitive and we expect it to remain competitive going forward.",NVDA-2025-1A-0013,list_available → search_filings → search_filings → search_filings → search_filings → search_filings,6,50902,2778,0.048594,81.90661590034142,False,False,False,0,False,5,5,5,False,5,True,,True,,True,False,23.0
gX-008,extractiva,GOOGL,a2_retrieval,2,0,"En sus factores de riesgo de FY2025 (Item 1A), Alphabet destaca principalmente dos demandas antimonopolio del Departamento de Justicia de EE. UU. (DOJ) en conjunto con fiscales generales estatales: 

1) La demanda relativa a las prácticas de Búsqueda y publicidad en Búsqueda (Google Search) en el Tribunal de Distrito de Columbia, en la que el tribunal falló contra Google en agosto de 2024 y dictó una sentencia definitiva de remedios en diciembre de 2025 (ambas partes apelaron a principios de 2026).
2) La demanda presentada en enero de 2023 en el Distrito Este de Virginia sobre tecnologías de publicidad digital (ad tech), donde en abril de 2025 el juez emitió un fallo mixto determinando que las herramientas para editores (publisher tools) excluían injustamente a competidores, proceso que tuvo audiencias de remedios a finales de 2025 y espera sentencia definitiva.",,,,,2025,texto,the DOJ and a number of state Attorneys General filed a lawsuit concerning our Search and Search advertising practices and our compliance with US antitrust laws.,GOOGL-2025-1A-0026,list_available → search_filings,2,7681,1605,0.0117795,54.22505099978298,False,False,False,0,False,1,1,1,False,0,True,,True,,True,False,10.0
gX-009,extractiva,META,a2_retrieval,2,0,"En su informe 10-K para el ejercicio fiscal 2025 (Ítem 1A), Meta especifica que la Ley de Mercados Digitales (DMA) de la Unión Europea le impone restricciones y obligaciones en áreas como: 1) la combinación de datos entre servicios, 2) fusiones y adquisiciones, y 3) el diseño de productos. Además, Meta señala que la DMA incluye sanciones significativas por incumplimiento, que sus requisitos clave son exigibles a las compañías designadas como «gatekeepers» desde marzo de 2024, y que le ha obligado a realizar modificaciones operativas y de producto (por ejemplo, en relación con su modelo de «suscripción sin anuncios» y la oferta de anuncios menos personalizados tras procedimientos de la Comisión Europea).",,,,,2025,texto,"For example, the DMA in the European Union imposes restrictions and requirements on companies like ours, including in areas such as the combination of data across services, mergers and acquisitions, and product design.",META-2025-1A-0060,list_available → search_filings → search_filings → search_filings,4,25870,2503,0.02878875,50.8481409996748,False,False,False,0,False,3,3,3,False,3,True,,True,,True,True,1.0
gX-010,extractiva,AAPL,a2_retrieval,2,0,"Apple señala que muchas de sus operaciones, tiendas y dependencias, así como operaciones críticas de sus proveedores y fabricantes contratados, están ubicadas en zonas propensas a terremotos y otros desastres naturales. Asimismo, advierte que el cambio climático global está provocando que ciertos desastres naturales y fenómenos meteorológicos extremos ocurran con mayor frecuencia o mayor intensidad, lo que puede dificultar o imposibilitar la fabricación y entrega de productos, generar retrasos e ineficiencias en la cadena de suministro, causar interrupciones en sus servicios y elevar los costes.",,,,,2025,texto,"Many of the Company’s operations, retail stores and facilities, as well as critical business operations of the Company’s suppliers and contract manufacturers, are in locations that are prone to earthquakes and other natural disasters.",AAPL-2025-1A-0003,list_available → search_filings,2,7161,1006,0.00914325,11.89915640000254,False,False,False,0,False,1,1,1,False,1,True,,True,,True,False,14.0
gX-011,extractiva,META,a2_retrieval,2,0,"En la sección MD&A (Item 7) de su informe 10-K para el ejercicio fiscal 2025, Meta señala que anticipa realizar inversiones en capital (capital expenditures) de aproximadamente entre 115.000 y 135.000 millones de dólares ($115 billion to $135 billion) en 2026 para respaldar sus iniciativas de inteligencia artificial y su negocio principal.",,,,,2025,texto,We anticipate making capital expenditures of approximately $115 billion to $135 billion in 2026 to support our AI efforts and core business.,META-2025-7-0031,list_available → search_filings,2,7552,988,0.009369,26.25732950028032,False,False,False,0,False,1,1,1,False,1,True,,True,,True,True,3.0
gX-012,extractiva,NVDA,a2_retrieval,2,0,"Al cierre del ejercicio fiscal 2025, NVIDIA realizó un análisis de sensibilidad sobre su cartera de inversiones a tipo fijo según el cual desplazamientos paralelos en la curva de rendimientos (yield curve) de más o menos 0,5% (±0,5%) provocarían un cambio en el valor razonable de dichas inversiones de 238 millones de dólares.",,,,USD,2025,texto,"According to our analysis, parallel shifts in the yield curve of plus or minus 0.5% would result in a change in fair value for these investments of $238 million.",NVDA-2025-7A-0000,list_available → search_filings → search_filings,3,9443,1356,0.01216725,32.6298497999087,False,False,False,0,False,2,2,2,False,2,True,,True,,True,True,1.0
gX-013,comparativa,MSFT,a2_retrieval,2,0,"Los ingresos de Microsoft crecieron en 36.602.000.000 USD (un aumento del 14,93%) entre FY2024 y FY2025, pasando de 245.122.000.000 USD en el ejercicio 2024 a 281.724.000.000 USD en el ejercicio 2025.",281724000000.0,281724000000.0,1.0,USD,2025,xbrl,,,list_available → get_xbrl_fact → get_xbrl_fact → get_xbrl_fact → get_xbrl_fact,5,7405,1026,0.00940125,10.570999899879098,False,False,False,0,False,0,0,0,False,0,False,True,False,,False,True,1.0
gX-014,comparativa,NVDA,a2_retrieval,2,0,"El beneficio neto de NVIDIA aumentó en 43.120.000.000 USD (un incremento del 144,89%) entre FY2024 y FY2025, pasando de 29.760.000.000 USD en el ejercicio fiscal 2024 a 72.880.000.000 USD en el ejercicio fiscal 2025.",72880000000.0,72880000000.0,1.0,USD,2025,xbrl,,,list_available → get_xbrl_fact → get_xbrl_fact,3,5092,927,0.00729525,16.216663599945605,False,False,False,0,False,0,0,0,False,0,False,True,False,,False,True,2.0
gX-015,comparativa,GOOGL,a2_retrieval,2,1,"Los ingresos de Alphabet crecieron en 52.818.000.000 USD (un 15,09%), pasando de 350.018.000.000 USD en el ejercicio FY2024 a 402.836.000.000 USD en el ejercicio FY2025.",402836000000.0,402836000000.0,1.0,USD,2025,xbrl,,,list_available → get_xbrl_fact → get_xbrl_fact,3,7047,887,0.0086115,12.251806600019336,False,False,False,0,False,0,0,0,False,0,False,True,False,,False,True,3.0
gX-016,comparativa,META,a2_retrieval,2,0,"El beneficio neto de Meta bajó 1.902.000.000 USD (un 3,05%), pasando de 62.360.000.000 USD en FY2024 a 60.458.000.000 USD en FY2025, a pesar de que el resultado de explotación aumentó de 69.380.000.000 USD a 83.276.000.000 USD. La bajada se debió a un fuerte aumento en la provisión de impuestos sobre beneficios (provision for income taxes), cuya tasa efectiva subió del 12% al 30% como consecuencia de la entrada en vigor de la One Big Beautiful Bill Act (OBBBA) en julio de 2025, lo que obligó a registrar un cargo de 15.930 millones de dólares en el tercer trimestre (incluyendo 14.030 millones de provisión de valoración contra activos por impuestos diferidos por el Corporate Alternative Minimum Tax).",60458000000.0,60458000000.0,1.0,USD,2025,ambas,"Our provision for income taxes in 2025 increased $17.17 billion or 207% compared to 2024, primarily due to an increase in the effective tax rate.",META-2025-7-0028,list_available → get_xbrl_fact → get_xbrl_fact → get_xbrl_fact → get_xbrl_fact → get_xbrl_fact → get_xbrl_fact → search_filings,8,9813,2150,0.01542225,32.15152220008895,False,False,False,0,False,1,1,1,False,0,True,True,True,,True,False,24.0
gX-017,comparativa,AAPL,a2_retrieval,2,0,"Las ventas netas (RevenueFromContractWithCustomerExcludingAssessedTax) de Apple crecieron 25.126.000.000 USD (un 6,43%) entre FY2024 y FY2025, pasando de 391.035.000.000 USD en el ejercicio 2024 a 416.161.000.000 USD en el ejercicio 2025.",416161000000.0,416161000000.0,1.0,USD,2025,xbrl,,,list_available → get_xbrl_fact → get_xbrl_fact → get_xbrl_fact → search_filings,5,10176,1906,0.0147795,49.272587599698454,False,False,False,0,False,1,1,1,False,1,False,True,True,,False,True,1.0
gX-018,comparativa,AMZN,a2_retrieval,2,0,"El flujo de caja de las actividades de explotación de Amazon creció en 23.637.000.000 USD (un aumento del 20,40%), pasando de 115.877.000.000 USD en FY2024 a 139.514.000.000 USD en FY2025.",139514000000.0,139514000000.0,1.0,USD,2025,xbrl,,,list_available → get_xbrl_fact → get_xbrl_fact,3,5101,906,0.00722325,9.235676299780607,False,False,False,0,False,0,0,0,False,0,False,True,False,,False,False,7.0
gX-019,comparativa,NVDA,a2_retrieval,2,0,"No, no significa que haya ganado menos por acción. En junio de 2024, NVIDIA llevó a cabo un desdoblamiento de acciones (stock split) de 10 por 1. Ajustando retroactivamente por este split, el BPA diluido del ejercicio fiscal 2024 fue de 1,19 USD por acción, por lo que el BPA diluido en FY2025 (2,94 USD por acción) representó en realidad un incremento del 147%. Asimismo, el beneficio neto total creció un 145% (de 29.760 millones de dólares en FY2024 a 72.880 millones en FY2025).",2.94,2.94,1.0,USD/shares,2025,ambas,"In June 2024, we executed a ten-for-one stock split of our common stock.",NVDA-2025-8-0015,list_available → get_xbrl_fact → get_xbrl_fact → search_filings → search_filings → search_filings → search_filings → search_filings,8,53584,1797,0.04692675,65.15792829962447,False,False,False,0,False,5,5,5,False,3,True,True,True,,True,True,4.0
