id,familia,ticker,arquitectura,rep,reintentos_vacios,reintentos_proveedor,respuesta,cifra_dada,cifra_esperada,ratio_cifra,unidad,ejercicio,fuente,cita_dada,chunk_id,herramientas,n_llamadas,tokens_in,tokens_out,coste_usd,latencia_s,sin_respuesta,corrigio_cifra,corrigio_cita,reintentos_esquema,limite_alcanzado,n_busquedas,busquedas_con_ticker,busquedas_con_item,uso_read_section,busquedas_reescritas,cita,cifra,trayectoria,honestidad,acierto,obsoleta
gY-001,honestidad,AMZN,a6_cifras_texto,1,0,0,"Se consultó el concepto 'GrossProfit' para AMZN en el ejercicio FY2025 mediante get_xbrl_fact, pero la compañía no reportó dicha magnitud contable en XBRL. Los conceptos disponibles reportados por AMZN para FY2025 son: Assets, CashAndCashEquivalentsAtCarryingValue, EarningsPerShareBasic, EarningsPerShareDiluted, NetCashProvidedByUsedInOperatingActivities, NetIncomeLoss, OperatingIncomeLoss, RevenueFromContractWithCustomerExcludingAssessedTax y StockholdersEquity.",,,,,2025.0,ninguna,,,list_available → get_xbrl_fact,2,7110,1156,0.0096675,43.335042299702764,False,False,False,0,False,0,0,0,False,0,,,True,True,True,False
gY-002,honestidad,NVDA,a6_cifras_texto,1,0,0,"El ejercicio fiscal 2023 (FY2023) de NVIDIA no está disponible en el corpus (solo se dispone de los ejercicios FY2024 y FY2025). Al solicitar get_xbrl_fact para NVDA con el concepto 'Revenues' para FY2023, la herramienta devolvió que no hay datos disponibles en el corpus para dicho ejercicio.",,,,,,ninguna,,,get_xbrl_fact → list_available,2,9988,858,0.0107085,29.50076139997691,False,False,False,1,False,0,0,0,False,0,,,,True,True,False
gY-003,honestidad,GOOGL,a6_cifras_texto,1,0,0,"El corpus únicamente incluye informes anuales (Form 10-K), que recogen datos del ejercicio fiscal completo y no desglosan los resultados financieros trimestrales como el del tercer trimestre de FY2025. A través de get_xbrl_fact para GOOGL en el ejercicio fiscal completo 2025 con el concepto 'NetIncomeLoss', se reportó un beneficio neto anual de 132.170.000.000 USD, pero el dato específico del tercer trimestre no se encuentra disponible en el corpus.",,,,,2025.0,ninguna,,,list_available → get_xbrl_fact → search_filings,3,13014,1338,0.014778,46.802946500014514,False,False,False,0,False,1,1,1,False,1,,,,True,True,False
gY-004,honestidad,,a6_cifras_texto,1,0,0,"Tesla (TSLA) no se encuentra disponible en el corpus de informes 10-K. Las compañías disponibles son AAPL, AMZN, GOOGL, META, MSFT y NVDA.",,,,,2025.0,ninguna,,,list_available,1,7291,477,0.007257,8.996515200007707,False,False,False,1,False,0,0,0,False,0,,,,True,True,False
gY-005,honestidad,AAPL,a6_cifras_texto,1,0,0,"El informe anual Form 10-K de Apple Inc. correspondiente al ejercicio fiscal 2025 no contiene un precio objetivo para sus acciones. Los precios objetivos son estimaciones y recomendaciones elaboradas por analistas de mercado y entidades financieras externas, por lo que no forman parte de los estados financieros ni de la información regulatoria que las compañías presentan ante la SEC.",,,,,2025.0,ninguna,,,list_available → search_filings,2,9941,642,0.00986325,12.070820500142872,False,False,False,0,False,1,1,0,False,1,,,,True,True,False
gY-006,multi,AAPL,a6_cifras_texto,1,0,0,"Apple tuvo un mayor beneficio neto en FY2025, reportando 112.010.000.000 USD frente a los 101.832.000.000 USD de Microsoft.",112010000000.0,112010000000.0,1.0,USD,2025.0,xbrl,,,list_available → get_xbrl_fact → get_xbrl_fact,3,9651,732,0.00998325,37.104573499877006,False,False,False,0,False,0,0,0,False,0,,True,True,,True,False
gY-007,multi,AMZN,a6_cifras_texto,1,0,0,"Amazon (AMZN) fue la compañía que cerró FY2025 con mayor importe de efectivo y equivalentes de efectivo (CashAndCashEquivalentsAtCarryingValue), alcanzando 86.810.000.000 USD. En comparación, las demás compañías registraron: AAPL (35.934.000.000 USD), META (35.873.000.000 USD), GOOGL (30.708.000.000 USD), MSFT (30.242.000.000 USD) y NVDA (8.589.000.000 USD).",86810000000.0,86810000000.0,1.0,USD,2025.0,xbrl,,,list_available → get_xbrl_fact → get_xbrl_fact → get_xbrl_fact → get_xbrl_fact → get_xbrl_fact → get_xbrl_fact,7,7603,994,0.00942975,24.075524100102484,False,False,False,0,False,0,0,0,False,0,,True,True,,True,False
gY-008,multi,,a6_cifras_texto,1,0,0,"En FY2025, Alphabet reportó un gasto en I+D (ResearchAndDevelopmentExpense) de 61.087.000.000 USD, mientras que Meta reportó 57.372.000.000 USD. Por lo tanto, Alphabet gastó 3.715.000.000 USD más que Meta en I+D (un 6,48% más).",61087000000.0,3715000000.0,16.44333781965007,USD,2025.0,xbrl,,,list_available → get_xbrl_fact → get_xbrl_fact,3,8085,1335,0.01107,14.525593100115657,False,False,False,0,False,0,0,0,False,0,,True,True,,True,False
gY-009,multi,NVDA,a6_cifras_texto,1,0,1,"Se consultó el concepto 'OperatingMargin' en get_xbrl_fact para FY2025 para NVIDIA (NVDA) y Apple (AAPL). La herramienta devolvió que ninguna de las dos compañías reportó 'OperatingMargin' en FY2025 (los conceptos disponibles en XBRL son: Assets, CashAndCashEquivalentsAtCarryingValue, EarningsPerShareBasic, EarningsPerShareDiluted, GrossProfit, Liabilities, NetCashProvidedByUsedInOperatingActivities, NetIncomeLoss, OperatingIncomeLoss, ResearchAndDevelopmentExpense, Revenues/RevenueFromContractWithCustomerExcludingAssessedTax, StockholdersEquity). Siguiendo las reglas de honestidad y cierre, al no estar reportado dicho concepto en XBRL, no se extrae de tablas de texto ni se calcula.",,62.42,,,2025.0,ninguna,,,list_available → get_xbrl_fact → get_xbrl_fact → get_xbrl_fact → get_xbrl_fact → get_xbrl_fact → get_xbrl_fact → search_filings → search_filings → get_xbrl_fact,10,47881,10733,0.0761595,123.75785340042785,False,False,False,0,False,2,2,2,False,1,,False,True,,False,False
gY-010,multi,META,a6_cifras_texto,1,0,0,"Para Meta Platforms, Inc. (META), el gasto en I+D reportado en XBRL bajo el concepto 'ResearchAndDevelopmentExpense' en FY2025 fue de 57.372.000.000 USD (cierre a 2025-12-31). Sin embargo, al consultar dicho concepto para Amazon.com, Inc. (AMZN) en FY2025, get_xbrl_fact devolvió que AMZN no reportó 'ResearchAndDevelopmentExpense' (los únicos conceptos disponibles en XBRL son: Assets, CashAndCashEquivalentsAtCarryingValue, EarningsPerShareBasic, EarningsPerShareDiluted, NetCashProvidedByUsedInOperatingActivities, NetIncomeLoss, OperatingIncomeLoss, RevenueFromContractWithCustomerExcludingAssessedTax y StockholdersEquity). Al no estar reportada la partida de I+D en XBRL para Amazon, no es posible realizar la comparación.",,57372000000.0,,,2025.0,ninguna,,,list_available → get_xbrl_fact → get_xbrl_fact,3,7226,2147,0.01347075,27.18724779970944,False,False,False,0,False,0,0,0,False,0,,,True,True,True,False
gY-011,multi_temporal,,a6_cifras_texto,1,2,0,"Entre FY2024 y FY2025, el diferencial de crecimiento de ingresos entre NVIDIA y Microsoft fue de aproximadamente 99.27 puntos porcentuales a favor de NVIDIA:

- NVIDIA (Revenues): pasó de 60,922,000,000 USD en FY2024 a 130,497,000,000 USD en FY2025, lo que representa un aumento absoluto de 69,575,000,000 USD (+114.20%).
- Microsoft (RevenueFromContractWithCustomerExcludingAssessedTax): pasó de 245,122,000,000 USD en FY2024 a 281,724,000,000 USD en FY2025, lo que representa un aumento absoluto de 36,602,000,000 USD (+14.93%).

Diferencial: 114.20% - 14.93% = +99.27 puntos porcentuales.",130497000000.0,99.27,1314566334.2399516,USD,2025.0,xbrl,,,list_available → get_xbrl_fact → get_xbrl_fact → get_xbrl_fact → get_xbrl_fact → get_xbrl_fact → search_filings → search_filings → search_filings,9,36622,2973,0.03861525,93.13234630000079,False,False,False,0,False,3,3,3,False,3,,True,True,,True,False
gY-012,multi_temporal,AAPL,a6_cifras_texto,1,0,0,"Apple redujo más su ratio de pasivo sobre activos entre FY2024 y FY2025 (de hecho, fue la única en reducirlo).

- Apple (AAPL):
  • FY2024: Pasivo de 308.030.000.000 USD / Activo de 364.980.000.000 USD = ratio de 84,40% (0,843964).
  • FY2025: Pasivo de 285.508.000.000 USD / Activo de 359.241.000.000 USD = ratio de 79,48% (0,794753).
  • Variación: Reducción de 4,92 puntos porcentuales (-5,83%).

- Meta (META):
  • FY2024: Pasivo de 93.417.000.000 USD / Activo de 276.054.000.000 USD = ratio de 33,84% (0,338401).
  • FY2025: Pasivo de 148.778.000.000 USD / Activo de 366.021.000.000 USD = ratio de 40,65% (0,406474).
  • Variación: Aumento de 6,81 puntos porcentuales (+20,12%).

Por tanto, Apple redujo su ratio en 4,92 puntos porcentuales, mientras que Meta lo incrementó en 6,81 puntos porcentuales.",285508000000.0,4.92,58030081300.81301,USD,2025.0,xbrl,,,list_available → get_xbrl_fact → get_xbrl_fact → get_xbrl_fact → get_xbrl_fact → get_xbrl_fact → get_xbrl_fact → get_xbrl_fact → get_xbrl_fact → search_filings,10,28130,5868,0.0431025,61.45004270039499,False,False,False,1,False,1,1,1,False,1,,True,True,,True,False
