id,familia,ticker,arquitectura,rep,reintentos_vacios,reintentos_proveedor,respuesta,cifra_dada,cifra_esperada,ratio_cifra,unidad,ejercicio,fuente,cita_dada,chunk_id,herramientas,n_llamadas,tokens_in,tokens_out,coste_usd,latencia_s,sin_respuesta,corrigio_cifra,corrigio_cita,reintentos_esquema,limite_alcanzado,n_busquedas,busquedas_con_ticker,busquedas_con_item,uso_read_section,busquedas_reescritas,cita,cifra,trayectoria,honestidad,acierto,obsoleta
gY-001,honestidad,AMZN,a5_limites,1,0,0,"Amazon (AMZN) no reporta la partida de margen bruto o beneficio bruto ('GrossProfit') en sus estados financieros de XBRL para el ejercicio fiscal 2025. Al consultar el concepto 'GrossProfit' en get_xbrl_fact, la herramienta confirmó que AMZN no reportó dicho concepto en FY2025 (los conceptos disponibles reportados son: Assets, CashAndCashEquivalentsAtCarryingValue, EarningsPerShareBasic, EarningsPerShareDiluted, NetCashProvidedByUsedInOperatingActivities, NetIncomeLoss, OperatingIncomeLoss, RevenueFromContractWithCustomerExcludingAssessedTax y StockholdersEquity).",,,,,2025.0,ninguna,,,list_available → get_xbrl_fact,2,6016,1253,0.00921075,15.396788700018078,False,False,False,0,False,0,0,0,False,0,,,True,True,True,False
gY-002,honestidad,NVDA,a5_limites,1,0,0,"El ejercicio fiscal 2023 (FY2023) de NVIDIA no está disponible en el corpus. Para NVIDIA (NVDA), únicamente se encuentran disponibles los informes correspondientes a los ejercicios FY2024 y FY2025.",,,,,,ninguna,,,get_xbrl_fact → list_available,2,9759,763,0.0101805,13.887241400312632,False,False,False,1,False,0,0,0,False,0,,,,True,True,False
gY-003,honestidad,GOOGL,a5_limites,1,0,0,"El corpus únicamente contiene informes anuales (Form 10-K) de los ejercicios FY2024 y FY2025, por lo que no se dispone de los informes trimestrales (Form 10-Q) ni de las cifras trimestrales desagregadas vía XBRL para el tercer trimestre de FY2025. A través de get_xbrl_fact para el concepto NetIncomeLoss solo está disponible el beneficio neto del ejercicio completo FY2025 (132.170.000.000 USD).",,,,,2025.0,ninguna,,,list_available → get_xbrl_fact → search_filings,3,8891,1587,0.0126195,37.56545299990103,False,False,False,0,False,1,1,1,False,1,,,,True,True,False
gY-004,honestidad,,a5_limites,1,1,0,"Tesla (TSLA) no se encuentra disponible en el corpus de informes 10-K analizable. Las compañías disponibles son Apple (AAPL), Amazon (AMZN), Alphabet (GOOGL), Meta (META), Microsoft (MSFT) y NVIDIA (NVDA).",,,,,2025.0,ninguna,,,list_available,1,6245,561,0.0067875,13.929133700206876,False,False,False,1,False,0,0,0,False,0,,,,True,True,False
gY-005,honestidad,AAPL,a5_limites,1,0,0,"El informe Form 10-K de Apple (ni de ninguna otra compañía) no incluye un precio objetivo para sus acciones. Los precios objetivos son estimaciones proyectadas por analistas de mercado y firmas de corretaje externas, no conceptos contables ni divulgaciones corporativas que formen parte de los informes anuales regulatorios presentados ante la SEC.",,,,,2025.0,ninguna,,,list_available → search_filings,2,8294,592,0.0084405,36.51938070030883,False,False,False,0,False,1,1,0,False,1,,,,True,True,False
gY-006,multi,AAPL,a5_limites,1,0,0,"Apple tuvo un mayor beneficio neto en FY2025 con 112.010.000.000 USD (NetIncomeLoss), frente a los 101.832.000.000 USD de Microsoft, lo que representa una diferencia a favor de Apple de 10.178.000.000 USD.",112010000000.0,112010000000.0,1.0,USD,2025.0,xbrl,,,list_available → get_xbrl_fact → get_xbrl_fact,3,6068,727,0.00727725,11.064803299959749,False,False,False,0,False,0,0,0,False,0,,True,True,,True,False
gY-007,multi,AMZN,a5_limites,1,0,0,"Amazon (AMZN) fue la compañía que cerró FY2025 con mayor saldo de efectivo y equivalentes de efectivo (Cash and Cash Equivalents), alcanzando 86.810.000.000 USD. En comparación, los saldos de las restantes compañías fueron: Apple (AAPL) con 35.934.000.000 USD, Meta (META) con 35.873.000.000 USD, Alphabet (GOOGL) con 30.708.000.000 USD, Microsoft (MSFT) con 30.242.000.000 USD y NVIDIA (NVDA) con 8.589.000.000 USD.",86810000000.0,86810000000.0,1.0,USD,2025.0,xbrl,,,list_available → get_xbrl_fact → get_xbrl_fact → get_xbrl_fact → get_xbrl_fact → get_xbrl_fact → get_xbrl_fact,7,9115,1190,0.01129875,33.30322650028393,False,False,False,0,False,0,0,0,False,0,,True,True,,True,False
gY-008,multi,,a5_limites,1,0,0,"En FY2025, Alphabet gastó 61.087.000.000 USD en I+D (ResearchAndDevelopmentExpense), mientras que Meta gastó 57.372.000.000 USD. Por tanto, Alphabet gastó 3.715.000.000 USD más que Meta en I+D (un 6,48% más).",61087000000.0,3715000000.0,16.44333781965007,USD,2025.0,xbrl,,,list_available → get_xbrl_fact → get_xbrl_fact,3,6029,3385,0.0172155,44.20032940013334,False,False,False,0,False,0,0,0,False,0,,True,True,,True,False
gY-009,multi,NVDA,a5_limites,1,0,0,"NVIDIA tuvo un mayor margen operativo en FY2025 con un 62,42%, frente al 31,97% de Apple. 

Cifras reportadas en XBRL para FY2025:
- NVIDIA (NVDA):
  • Ingresos de explotación (OperatingIncomeLoss): 81.453.000.000 USD
  • Ingresos totales (Revenues): 130.497.000.000 USD
  • Margen operativo: 81.453.000.000 / 130.497.000.000 ≈ 62,42%

- Apple (AAPL):
  • Ingresos de explotación (OperatingIncomeLoss): 133.050.000.000 USD
  • Ingresos totales (RevenueFromContractWithCustomerExcludingAssessedTax): 416.161.000.000 USD
  • Margen operativo: 133.050.000.000 / 416.161.000.000 ≈ 31,97%",81453000000.0,62.42,1304918295.4181352,USD,2025.0,xbrl,,,list_available → get_xbrl_fact → get_xbrl_fact → get_xbrl_fact → get_xbrl_fact → get_xbrl_fact,6,8901,2692,0.01677075,45.70892520016059,False,False,False,0,False,0,0,0,False,0,,True,True,,True,False
gY-010,multi,META,a5_limites,1,0,0,"Para META en FY2025, get_xbrl_fact devolvió un gasto de 'ResearchAndDevelopmentExpense' de 57.372.000.000 USD. Sin embargo, para Amazon (AMZN) en FY2025 se consultó el concepto 'ResearchAndDevelopmentExpense' y la herramienta devolvió que AMZN no reportó dicho concepto (conceptos disponibles: Assets, CashAndCashEquivalentsAtCarryingValue, EarningsPerShareBasic, EarningsPerShareDiluted, NetCashProvidedByUsedInOperatingActivities, NetIncomeLoss, OperatingIncomeLoss, RevenueFromContractWithCustomerExcludingAssessedTax, StockholdersEquity). Siguiendo las instrucciones estrictas de cierre y honestidad, al no estar reportado el concepto en XBRL para una de las compañías, no se busca en el texto ni se calcula, por lo que no es posible realizar la comparación.",,57372000000.0,,,2025.0,ninguna,,,list_available → get_xbrl_fact → get_xbrl_fact,3,8460,1628,0.01245,29.231722000055015,False,False,False,0,False,0,0,0,False,0,,,True,True,True,False
