id,familia,ticker,arquitectura,rep,reintentos_proveedor,respuesta,cifra_dada,cifra_esperada,ratio_cifra,unidad,ejercicio,fuente,cita_dada,chunk_id,herramientas,n_llamadas,tokens_in,tokens_out,coste_usd,latencia_s,sin_respuesta,corrigio_cifra,corrigio_cita,reintentos_esquema,limite_alcanzado,n_busquedas,busquedas_con_ticker,busquedas_con_item,uso_read_section,cita,cifra,trayectoria,honestidad,acierto,recall5,pos_ancla
gX-001,numerica,NVDA,a1_guardrails,2,0,Los ingresos de NVIDIA en el ejercicio fiscal 2025 fueron de 130.497.000.000 USD.,130497000000.0,130497000000.0,1.0,USD,2025,xbrl,,,get_xbrl_fact,1,2995,451,0.0039375,5.483538100030273,False,False,False,0,False,0,0,0,False,,True,True,,True,,
gX-002,numerica,AAPL,a1_guardrails,2,0,El beneficio neto (Net Income) de Apple Inc. en el ejercicio fiscal 2025 fue de 112.010.000.000 USD.,112010000000.0,112010000000.0,1.0,USD,2025,xbrl,,,list_available → get_xbrl_fact,2,4989,729,0.0064755,9.785644799936563,False,False,False,0,False,0,0,0,False,,True,True,,True,,
gX-003,numerica,GOOGL,a1_guardrails,2,0,Los ingresos totales de Alphabet Inc. en el ejercicio fiscal 2025 fueron de 402.836.000.000 USD.,402836000000.0,402836000000.0,1.0,USD,2025,xbrl,,,list_available → get_xbrl_fact,2,4960,568,0.00585,10.082375799771398,False,False,False,0,False,0,0,0,False,,True,True,,True,,
gX-004,numerica,META,a1_guardrails,2,0,"En el ejercicio fiscal 2025, Meta gastó 57.372.000.000 USD en investigación y desarrollo (Research and Development).",57372000000.0,57372000000.0,1.0,USD,2025,xbrl,,,list_available → get_xbrl_fact,2,5019,768,0.00664425,9.385271100327373,False,False,False,0,False,0,0,0,False,,True,True,,True,,
gX-005,numerica,AMZN,a1_guardrails,2,1,"En el ejercicio fiscal 2025, Amazon generó 139.514.000.000 USD de flujo de efectivo procedente de sus actividades de explotación (NetCashProvidedByUsedInOperatingActivities).",139514000000.0,139514000000.0,1.0,USD,2025,xbrl,,,list_available → get_xbrl_fact,2,5059,696,0.00640425,10.324731699656695,False,False,False,0,False,0,0,0,False,,True,True,,True,,
gX-006,numerica,MSFT,a1_guardrails,2,0,"Al cierre del ejercicio fiscal 2024 (30 de junio de 2024), el pasivo total (Liabilities) de Microsoft ascendía a 243.686.000.000 USD.",243686000000.0,243686000000.0,1.0,USD,2024,xbrl,,,get_xbrl_fact,1,2988,372,0.003636,10.437927199993283,False,False,False,0,False,0,0,0,False,,True,True,,True,,
gX-007,extractiva,NVDA,a1_guardrails,2,0,"En su informe 10-K para el ejercicio fiscal 2025, NVIDIA describe el mercado chino de soluciones para centros de datos como altamente competitivo (""The market in China for datacenter solutions remains competitive""). La compañía señala que, si bien introdujo nuevos productos diseñados específicamente para China que no requieren licencia de exportación y sus ingresos de Data Center en el país crecieron en el ejercicio fiscal 2025, estos siguen representando un porcentaje del total muy inferior a los niveles previos a los controles de exportación de octubre de 2023. Además, NVIDIA advierte que las restricciones y controles de exportación estadounidenses han perjudicado su posición competitiva frente a rivales que no están sujetos a las mismas limitaciones, y destaca el riesgo de que el gobierno chino fomente la compra a competidores locales basados en China o imponga nuevos estándares técnicos y revisiones regulatorias.",,,,,2025,texto,The market in China for datacenter solutions remains competitive.,NVDA-2025-7-0004,list_available → search_filings → search_filings → search_filings,4,24680,2162,0.0266175,22.56164770014584,False,False,False,0,False,3,3,3,False,True,,True,,True,False,16.0
gX-008,extractiva,GOOGL,a1_guardrails,2,0,"En la sección de factores de riesgo (Item 1A) del informe 10-K de FY2025, Alphabet detalla dos demandas antimonopolio principales interpuestas por el Departamento de Justicia de EE. UU. (DOJ) junto con fiscales generales estatales:

1. Demanda sobre Búsqueda y publicidad en búsquedas (Search and Search advertising): Tramitada en el Tribunal de Distrito de Columbia. En agosto de 2024 el tribunal falló contra Google y en diciembre de 2025 emitió una sentencia final que impone remedios (restricciones de distribución y obligación de compartir datos de búsqueda). Alphabet apeló en enero de 2026 y el DOJ apeló en febrero de 2026.
2. Demanda sobre tecnología publicitaria (Advertising technology): Presentada en enero de 2023 en el Tribunal de Distrito para el Distrito Este de Virginia. En abril de 2025 el juez emitió un fallo mixto (declarando que las herramientas para editores excluían indebidamente a competidores). El proceso de determinación de remedios (donde el DOJ propuso medidas estructurales) tuvo alegatos finales en noviembre de 2025 y Alphabet está a la espera de la sentencia final para apelar.",,,,,2025,texto,"In January 2023, the DOJ and a number of state Attorneys General sued in the Eastern District of Virginia alleging similar antitrust violations relating to our advertising technology.",GOOGL-2025-1A-0026,list_available → search_filings,2,7673,1613,0.0118035,13.965345799922943,False,False,False,0,False,1,1,1,False,True,,True,,True,True,2.0
gX-009,extractiva,META,a1_guardrails,2,2,"En su informe 10-K de FY2025 (Item 1A), Meta señala que la Ley de Mercados Digitales (DMA) de la Unión Europea le impone restricciones y requisitos específicos en áreas como la combinación de datos entre servicios, las fusiones y adquisiciones, y el diseño de productos. Asimismo, detalla que la DMA afecta a sus modelos comerciales (como el modelo de 'suscripción sin anuncios' y la alternativa de anuncios menos personalizados tras las resoluciones de la Comisión Europea), exigiendo adaptaciones en sus prácticas y productos bajo amenaza de importantes sanciones por incumplimiento.",,,,,2025,texto,"For example, the DMA in the European Union imposes restrictions and requirements on companies like ours, including in areas such as the combination of data across services, mergers and acquisitions, and product design.",META-2025-1A-0060,list_available → search_filings → search_filings → search_filings,4,21952,1611,0.02250525,26.226316099986434,False,False,False,0,False,3,3,3,False,True,,True,,True,True,1.0
gX-010,extractiva,AAPL,a1_guardrails,2,1,"En su informe 10-K de FY2025 (Ítem 1A), Apple declara que muchas de sus operaciones, tiendas comerciales e instalaciones, así como operaciones críticas de sus proveedores y fabricantes contratados, están ubicadas en zonas propensas a terremotos y otros desastres naturales. Además, destaca que el cambio climático global está provocando que ciertos desastres naturales y fenómenos meteorológicos extremos ocurran con mayor frecuencia o intensidad, lo cual puede dificultar o imposibilitar la fabricación y entrega de productos, causar retrasos e ineficiencias en la cadena de suministro, provocar interrupciones en sus servicios y aumentar sus costes.",,,,,2025,texto,"Many of the Company’s operations, retail stores and facilities, as well as critical business operations of the Company’s suppliers and contract manufacturers, are in locations that are prone to earthquakes and other natural disasters.",AAPL-2025-1A-0003,list_available → search_filings,2,7135,846,0.00852375,11.502642800100148,False,False,False,0,False,1,1,1,False,True,,True,,True,False,21.0
